code,name,category,current_price,52w low,52w high,market cap,NTA
5108,ICAPITAL.BIZ BERHAD,Closed-End Fund,1.99,1.99,2.47,278.6M,3.18
5281,ADVANCECON HOLDINGS BERHAD,Construction,0.28,0.27,0.485,113.1M,0.48
7078,AHMAD ZAKI RESOURCES BERHAD,Construction,0.195,0.185,0.575,116.6M,0.7139
5293,AME ELITE CONSORTIUM BERHAD,Construction,1.37,1.37,2.05,585.1M,1.45
5190,BENALEC HOLDINGS BERHAD,Construction,0.085,0.075,0.23,73.3M,0.66
5932,BINA PURI HOLDINGS BHD,Construction,0.05,0.045,0.235,38.2M,0.3757
8761,BREM HOLDING BERHAD,Construction,0.68,0.67,0.8,234.9M,1.7
8591,CREST BUILDER HOLDINGS BERHAD,Construction,0.705,0.69,1.21,124.7M,3.02
7528,DKLS INDUSTRIES BHD,Construction,1.64,1.53,1.9,152.0M,4.32
5253,ECONPILE HOLDINGS BERHAD,Construction,0.485,0.42,0.88,648.7M,0.3
8877,EKOVEST BERHAD,Construction,0.465,0.425,1.04,"1,234.5M",0.96
5205,EVERSENDAI CORPORATION BERHAD,Construction,0.23,0.225,0.56,179.7M,1.18
7047,FAJARBARU BUILDER GROUP BHD,Construction,0.29,0.23,0.52,108.4M,0.8336
5226,GABUNGAN AQRS BERHAD,Construction,0.945,0.925,1.54,467.4M,1.04
9261,GADANG HOLDINGS BHD,Construction,0.4,0.37,0.96,291.2M,1.11
5398,GAMUDA BERHAD,Construction,2.95,2.79,4.3,"7,413.9M",3.35
3204,GEORGE KENT (MALAYSIA) BERHAD,Construction,0.655,0.52,1.38,368.9M,0.9178
5169,HO HUP CONSTRUCTION COMPANY BHD,Construction,0.405,0.38,0.695,167.0M,1.05
6238,HOCK SENG LEE BERHAD,Construction,1.13,1.13,1.51,658.4M,1.4885
3336,IJM CORPORATION BERHAD,Construction,1.55,1.49,2.51,"5,640.9M",2.64
5268,IKHMAS JAYA GROUP BERHAD,Construction,0.025,0.015,0.29,14.7M,0.08
0192,INTA BINA GROUP BERHAD,Construction,0.205,0.195,0.325,109.7M,0.256
8834,IREKA CORPORATION BERHAD,Construction,0.405,0.34,0.61,75.6M,0.57
4723,JAKS RESOURCES BERHAD,Construction,0.83,0.66,1.57,540.4M,1.52
7161,KERJAYA PROSPEK GROUP BERHAD,Construction,1.09,1.03,1.49,"1,353.7M",0.87
5171,KIMLUN CORPORATION BERHAD,Construction,0.85,0.82,1.49,288.8M,2.1202
9628,LEBTECH BERHAD,Construction,0.95,0.735,1.11,129.7M,0.9383
5129,MELATI EHSAN HOLDINGS BERHAD,Construction,0.45,0.36,0.515,54.0M,1.78
8192,MERCURY INDUSTRIES BERHAD,Construction,0.7,0.66,0.85,28.1M,1.8264
7595,MGB BERHAD,Construction,0.44,0.43,0.815,220.7M,0.91
9571,MITRAJAYA HOLDINGS BERHAD,Construction,0.205,0.205,0.45,183.7M,0.86
5924,MTD ACPI ENGINEERING BERHAD,Construction,0.09,0.09,0.25,20.8M,0.36
5085,MUDAJAYA GROUP BERHAD,Construction,0.26,0.18,0.555,157.4M,0.25
5703,MUHIBBAH ENGINEERING (M) BHD,Construction,1.05,0.975,3.08,509.5M,2.31
7071,OCR GROUP BERHAD,Construction,0.25,0.22,0.37,83.2M,0.26
8311,PESONA METRO HOLDINGS BERHAD,Construction,0.175,0.16,0.28,121.6M,0.2635
5622,PIMPINAN EHSAN BERHAD,Construction,0.73,0.73,0.9,50.5M,1.04
9598,PINTARAS JAYA BHD,Construction,2.73,2.05,3.43,452.8M,1.98
7145,PRINSIPTEK CORPORATION BERHAD,Construction,0.065,0.055,0.17,32.6M,0.51
5070,PROTASCO BERHAD,Construction,0.195,0.18,0.435,96.6M,0.6824
6807,PUNCAK NIAGA HOLDINGS BERHAD,Construction,0.18,0.165,0.415,80.9M,2.92
5006,STELLA HOLDINGS BERHAD,Construction,0.81,0.75,1.81,54.3M,0.67
5263,SUNWAY CONSTRUCTION GROUP BERHAD,Construction,1.79,1.55,2.2,"2,314.3M",0.48
9717,SYCAL VENTURES BERHAD,Construction,0.205,0.18,0.285,85.3M,0.6682
5054,TRC SYNERGY BERHAD,Construction,0.31,0.31,0.765,149.0M,0.89
5042,TSR CAPITAL BERHAD,Construction,0.29,0.25,0.595,50.6M,0.9
7070,VIZIONE HOLDINGS BERHAD,Construction,0.31,0.29,1.17,191.7M,0.9803
3565,WCE HOLDINGS BERHAD,Construction,0.24,0.22,0.695,292.5M,0.9695
9679,WCT HOLDINGS BERHAD,Construction,0.425,0.42,1.22,602.7M,2.3
7028,ZECON BERHAD,Construction,0.36,0.23,0.7,51.9M,1.76
2283,ZELAN BERHAD,Construction,0.05,0.045,0.11,42.2M,0.06
5250,7-ELEVEN MALAYSIA HOLDINGS BERHAD,Consumer Products & Services,1.35,1.27,1.56,"1,665.1M",0.0893
7120,ACOUSTECH BERHAD,Consumer Products & Services,0.27,0.26,0.46,52.5M,0.52
1481,ADVANCE SYNERGY BERHAD,Consumer Products & Services,0.1,0.09,0.24,92.9M,0.518
6599,AEON CO. (M) BHD,Consumer Products & Services,1.0,0.98,1.83,"1,404.0M",1.21
7315,AHB HOLDINGS BERHAD,Consumer Products & Services,0.06,0.055,0.185,10.6M,0.16699999999999998
5099,AIRASIA GROUP BERHAD,Consumer Products & Services,0.82,0.79,3.05,"2,740.4M",1.33
2658,AJINOMOTO (MALAYSIA) BERHAD,Consumer Products & Services,13.6,13.36,18.48,826.9M,7.91
6351,AMWAY (MALAYSIA) HOLDINGS BERHAD,Consumer Products & Services,4.94,4.8,6.25,812.1M,1.35
5194,APFT BERHAD,Consumer Products & Services,0.005,0.005,0.025,6.7M,-0.01
6432,APOLLO FOOD HOLDINGS BERHAD,Consumer Products & Services,3.2,3.18,4.09,256.0M,3.14
7722,ASIA BRANDS BERHAD,Consumer Products & Services,0.44,0.42,0.58,102.4M,0.86
7129,ASIA FILE CORPORATION BHD,Consumer Products & Services,1.79,1.67,2.6,348.6M,3.1519999999999997
7048,ATLAN HOLDINGS BHD,Consumer Products & Services,4.0,3.8,4.8,"1,014.6M",2.03
8885,AVILLION BERHAD,Consumer Products & Services,0.075,0.06,0.25,70.8M,0.2338
5238,AirAsia X Berhad,Consumer Products & Services,0.065,0.06,0.26,269.6M,0.05
5196,BERJAYA FOOD BERHAD,Consumer Products & Services,1.25,1.15,1.81,477.7M,1.0423
4219,BERJAYA LAND BERHAD,Consumer Products & Services,0.15,0.135,0.29,750.1M,0.82
1562,BERJAYA SPORTS TOTO BERHAD,Consumer Products & Services,2.1,2.05,2.82,"2,837.2M",0.59
5248,BERMAZ AUTO BERHAD,Consumer Products & Services,1.48,1.48,2.78,"1,722.1M",0.4164
9288,BONIA CORPORATION BERHAD,Consumer Products & Services,0.605,0.23,1.06,122.0M,1.9295
9474,BRAHIM'S HOLDINGS BERHAD,Consumer Products & Services,0.105,0.075,0.39,24.8M,-0.09
4162,BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,Consumer Products & Services,11.04,10.22,37.0,"3,152.3M",1.36
2828,C.I. HOLDINGS BERHAD,Consumer Products & Services,1.06,1.06,1.55,171.7M,1.35
7174,CAB CAKARAN CORPORATION BERHAD,Consumer Products & Services,0.26,0.24,0.65,179.5M,0.67
7154,CAELY HOLDINGS BHD,Consumer Products & Services,0.325,0.285,1.19,53.4M,0.52
7128,CAM RESOURCES BERHAD,Consumer Products & Services,0.22,0.2,0.305,43.3M,0.58
5245,CARING PHARMACY GROUP BERHAD,Consumer Products & Services,2.58,1.86,2.59,561.7M,0.67
2836,CARLSBERG BREWERY MALAYSIA BERHAD,Consumer Products & Services,22.82,21.72,39.26,"6,977.2M",0.51
7035,CCK CONSOLIDATED HOLDINGS BERHAD,Consumer Products & Services,0.4,0.365,0.655,252.3M,0.44
7209,CHEETAH HOLDINGS BERHAD,Consumer Products & Services,0.3,0.24,0.34,38.3M,1.1
5188,CHINA OUHUA WINERY HOLDINGS LIMITED,Consumer Products & Services,0.025,0.025,0.055,16.7M,0.19
7202,CLASSIC SCENIC BERHAD,Consumer Products & Services,0.755,0.75,1.14,91.0M,0.77
5104,CNI HOLDINGS BERHAD,Consumer Products & Services,0.05,0.04,0.095,36.0M,0.1
7205,COCOALAND HOLDINGS BERHAD,Consumer Products & Services,1.7,1.68,2.22,389.0M,1.09
9423,CWG HOLDINGS BERHAD,Consumer Products & Services,0.32,0.32,0.51,40.4M,0.67
2925,CYCLE & CARRIAGE BINTANG BERHAD,Consumer Products & Services,1.43,1.2,2.14,144.1M,2.47
7179,D.B.E. GURNEY RESOURCES BERHAD,Consumer Products & Services,0.025,0.02,0.035,70.9M,0.02
7119,DEGEM BERHAD,Consumer Products & Services,1.07,0.76,1.13,143.4M,1.94
5908,DKSH HOLDINGS (MALAYSIA) BERHAD,Consumer Products & Services,2.39,2.1,2.99,376.8M,3.9344
1619,DRB-HICOM BERHAD,Consumer Products & Services,1.54,1.46,3.0,"2,977.2M",3.62
3026,DUTCH LADY MILK INDUSTRIES BERHAD,Consumer Products & Services,40.3,39.66,64.5,"2,579.2M",2.26
2097,EASTLAND EQUITY BHD,Consumer Products & Services,0.065,0.065,0.12,21.1M,0.58
7182,EKA NOODLES BERHAD,Consumer Products & Services,0.04,0.035,0.065,12.5M,-0.11
9091,EMICO HOLDINGS BERHAD,Consumer Products & Services,0.115,0.1,0.25,12.1M,0.43
7149,ENG KAH CORPORATION BERHAD,Consumer Products & Services,0.9,0.765,1.12,63.7M,1.0
5081,ESTHETICS INTERNATIONAL GROUP BERHAD,Consumer Products & Services,0.49,0.46,0.675,116.2M,0.75
7208,EURO HOLDINGS BERHAD,Consumer Products & Services,0.2,0.08,0.235,53.5M,0.2322
7094,EUROSPAN HOLDINGS BERHAD,Consumer Products & Services,0.36,0.32,0.48,16.0M,0.9814
2755,FCW HOLDINGS BERHAD,Consumer Products & Services,0.6,0.6,0.95,150.0M,0.63
8605,FEDERAL INTERNATIONAL HOLDINGS BERHAD,Consumer Products & Services,0.235,0.21,0.53,25.6M,0.9857
6939,FIAMMA HOLDINGS BERHAD,Consumer Products & Services,0.44,0.43,0.54,224.4M,1.01
9172,FORMOSA PROSONIC INDUSTRIES BERHAD,Consumer Products & Services,1.44,1.36,1.86,356.2M,1.25
3689,FRASER & NEAVE HOLDINGS BHD,Consumer Products & Services,28.7,28.1,36.96,"10,526.5M",7.24
7184,G3 GLOBAL BERHAD,Consumer Products & Services,1.86,0.71,3.72,870.6M,0.09
3182,GENTING BERHAD,Consumer Products & Services,3.99,3.93,7.08,"15,468.8M",9.18
4715,GENTING MALAYSIA BERHAD,Consumer Products & Services,2.43,2.37,4.0,"14,429.4M",3.27
5079,GETS GLOBAL BERHAD,Consumer Products & Services,0.075,0.075,0.415,9.5M,0.31
5592,GRAND CENTRAL ENTERPRISES BHD,Consumer Products & Services,0.42,0.41,0.5,82.7M,1.08
0136,GREENYIELD BERHAD,Consumer Products & Services,0.1,0.09,0.165,33.4M,0.162
5102,GUAN CHONG BERHAD,Consumer Products & Services,1.95,1.88,5.03,"1,967.7M",0.9433
7668,HAI-O ENTERPRISE BERHAD,Consumer Products & Services,1.6,1.56,2.77,480.5M,1.03
5008,HARRISONS HOLDINGS (MALAYSIA) BERHAD,Consumer Products & Services,3.4,3.3,3.98,232.9M,4.61
5187,HB GLOBAL LIMITED,Consumer Products & Services,0.04,0.04,0.155,18.7M,0.43
3255,HEINEKEN MALAYSIA BERHAD,Consumer Products & Services,21.9,20.76,31.74,"6,615.9M",1.3
5160,HOMERITZ CORPORATION BERHAD,Consumer Products & Services,0.545,0.5,0.75,163.5M,0.55
3301,HONG LEONG INDUSTRIES BERHAD,Consumer Products & Services,7.97,7.97,11.6,"2,613.4M",5.48
5024,HUP SENG INDUSTRIES BERHAD,Consumer Products & Services,0.84,0.815,1.03,672.0M,0.19
8478,HWA TAI INDUSTRIES BERHAD,Consumer Products & Services,0.25,0.22,0.35,18.7M,0.3005
9113,ICONIC WORLDWIDE BERHAD,Consumer Products & Services,0.275,0.245,0.49,89.0M,0.3
7243,IMPIANA HOTELS BERHAD,Consumer Products & Services,0.095,0.015,0.305,72.9M,0.066
5107,IQ GROUP HOLDINGS BERHAD,Consumer Products & Services,0.395,0.32,1.21,34.8M,1.44
