code,name,category,Annual,nYear,Price,52w low,52w high,NTA,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
8567,SALCON BERHAD,Utilities,2018-12-01,10,0.175,0.1,0.28,0.52,-17.0,-1.02,-5.83,0.0,0.0,-1.96,0.47,0.02,0.02,4.13,-7.83,62.0,27.08,28.83,0.0,-26.18,-40.36,-16.49,1.89,-3.5,-1.42,1.89,1.52,2.12,1.27,1.52,16.52,0,0,0,1+3+4+6+7+8+10,2,1+2+5+7+8+10,1+2+3+5+6+7+8,370,130,0.04,0.0,44,-30
8524,TALIWORKS CORPORATION BERHAD,Utilities,2019-12-01,10,0.855,0.635,0.98,0.5038,21.0,4.0,4.68,5.25,6.14,7.94,7.29,0.4,0.43,27.44,11.47,63.5,37.48,35.28,4.44,-15.76,-25.58,4.44,3.76,4.52,4.22,3.76,2.1,4.75,3.95,2.1,81.43,1,0,0,4+9,+,1+3+5+7+10,+,172,360,0.02,0.04,50,643
7471,EDEN INC. BERHAD,Utilities,2018-12-01,10,0.185,0.09,0.375,0.78,13.0,1.43,7.73,0.0,0.0,1.83,-3.22,0.17,0.12,-17.6,-40.0,38.0,-1.0,-2.17,0.0,0.0,0.0,0.0,-13.32,-31.41,-30.13,-13.32,0.0,0.0,0.0,0.0,0.0,0,0,0,2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+9,1+2+3+4+5+6+7+8+9+10,2+3+4,229,60,0.01,-0.02,25,3
6742,YTL POWER INTERNATIONAL BHD,Utilities,2019-06-01,10,0.665,0.48,0.85,1.59,14.0,4.89,7.35,5.0,7.52,3.08,3.72,2.11,1.51,7.63,8.65,16.11,12.38,12.53,0.0,-23.26,-18.3,-3.97,8.21,7.1,7.87,8.21,4.48,5.95,6.24,4.48,57.38,1,0,1,3+4+5+6+7,+,1+2+3+5+7+8,+,13367,11733,0.16,0.06,2664,1248
6033,PETRONAS GAS BERHAD,Utilities,2019-12-01,10,15.28,13.36,18.387999999999998,6.6939,16.0,97.8,6.4,82.0,5.37,14.61,14.76,0.29,0.29,40.3,15.89,27.64,21.76,22.23,0.99,3.62,0.99,7.66,4.64,5.26,4.87,4.64,3.25,3.9,3.42,3.25,59.48,1,0,0,1+9,+,4+6+9,+,3525,5458,0.72,0.97,0,3357
5347,TENAGA NASIONAL BHD,Utilities,2019-12-01,10,12.2,10.365,13.704,10.1957,15.0,79.64,6.53,100.0,8.2,7.81,7.82,1.2,1.2,11.29,8.9,76.0,42.45,19.29,16.16,-13.7,-6.59,16.16,7.51,6.27,7.05,7.51,2.44,3.46,2.88,2.44,11.1,1,0,1,+,+,2+3+5+9,+,30320,50939,0.59,0.8,7970,19458
5272,RANHILL HOLDINGS BERHAD,Utilities,2019-12-01,10,0.995,0.82,1.44,0.55,13.0,7.6,7.64,5.0,5.03,13.82,14.34,1.84,1.84,-9.71,0.0,30.0,15.0,6.3,0.44,0.44,0.0,32.99,6.21,6.21,0.0,0.0,5.17,5.17,0.0,0.0,25.66,0,0,0,6+7+10,6+7+8+9,2+3+5+6+7+8+9+10,10,171,1630,0.0,0.07,0,350
5264,MALAKOFF CORPORATION BERHAD,Utilities,2019-12-01,10,0.815,0.645,0.93,1.12,13.0,6.4,7.85,6.55,8.04,5.71,5.02,1.73,1.73,5.91,0.0,19.57,9.78,7.77,0.72,-2.7,-5.16,0.72,6.61,7.22,6.61,0.0,5.6,6.84,5.6,0.0,43.63,1,0,1,1+5+7+8,+,2+3+4+7,+,5474,7278,0.03,0.07,1700,2424
5209,GAS MALAYSIA BERHAD,Utilities,2019-12-01,10,2.81,2.3,2.96,0.7997,18.0,15.68,5.58,14.1,5.02,19.61,18.39,0.15,0.18,6.53,0.0,30.0,15.0,18.41,2.9,4.89,2.9,-2.3,4.49,4.97,4.7,0.0,4.06,4.85,4.64,0.0,68.04,1,0,0,+,+,2+5+6+7+8+9,+,1807,6886,0.23,0.15,369,119
5041,PBA HOLDINGS BHD,Utilities,2018-12-01,10,0.885,0.725,1.19,2.05,12.0,7.59,8.58,3.5,3.95,3.7,-13.61,0.44,0.11,8.56,-3.61,22.25,9.32,10.9,0.0,0.0,0.0,0.0,5.72,-0.49,2.7,5.72,3.53,3.56,3.45,3.53,33.46,0,0,1,2+10,1,1+2+5+6+7+10,,185,334,0.04,-0.31,80,81
4677,YTL CORPORATION BERHAD,Utilities,2019-06-01,10,0.735,0.6,1.17,1.24,67.0,1.1,1.5,4.0,5.44,0.89,1.77,2.98,2.32,5.26,10.8,56.0,33.4,21.61,0.0,-35.64,-31.0,-13.55,5.82,3.31,4.35,5.82,3.19,4.72,5.07,3.19,69.97,1,0,1,3+4+5+6+7,+,1+2+3+4+5+10,+,16505,17378,0.09,0.02,3448,2770
3069,MEGA FIRST CORPORATION BERHAD,Utilities,2019-12-01,10,5.32,3.1,5.6,3.78,16.0,32.46,6.1,4.0,0.75,8.59,10.64,0.02,0.02,13.43,5.83,14.19,10.01,8.65,1.01,1.01,5.58,3.94,12.37,8.68,10.7,12.37,2.73,1.01,1.82,2.73,20.79,1,0,1,1+2+3+5+7,+,2+3+6+8,+,523,694,0.25,0.36,97,42
9806,NATIONWIDE EXPRESS HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,9,0.1,0.04,0.28,0.43,0.0,-31.25,-312.5,0.0,0.0,-72.67,-92.07,0.0,0.0,-7.18,-56.0,85.0,14.5,5.11,0.0,0.0,0.0,0.0,-14.14,-39.06,-24.85,0.0,1.28,0.0,0.0,0.0,76.42,0,0,0,2+3+4+6,1+2+3+4+5+6,1+2+3+4+5+6+7+8+9,1+4+5,92,87,0.01,-0.24,6,-9
8397,TIONG NAM LOGISTICS HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,10,0.4,0.26,0.6,1.53,-35.0,-1.15,-2.87,0.0,0.0,-0.75,-0.2,0.97,0.81,7.78,7.06,58.5,32.78,18.9,0.0,0.0,0.0,0.0,6.85,5.28,8.74,6.85,1.51,1.63,1.98,1.51,18.83,0,0,0,1+4+10,1,1+2+3+7+8+10,9,268,589,0.03,0.0,23,19
8346,PERAK CORPORATION BERHAD,Transportation & Logistics,2018-12-01,10,0.175,0.09,0.47,0.03,0.0,-76.61,-437.77,0.0,0.0,-2553.67,-31.43,0.11,0.38,1.84,-8.0,13.5,2.75,4.12,0.0,0.0,0.0,0.0,-62.17,-251.01,-138.45,-62.17,1.18,0.0,0.0,1.18,5.94,0,0,0,4+6+10,1+2+3,1+2+3+6+10,3+4,95,193,0.12,-1.05,36,74
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,Transportation & Logistics,2018-12-01,10,0.63,0.56,1.36,0.47,-1.0,-46.94,-74.51,0.0,0.0,-99.87,-37.53,0.05,0.02,-3.37,-15.42,229.0,106.79,34.8,0.0,0.0,0.0,0.0,-2.04,-4.9,-3.54,-2.04,1.29,1.54,0.93,1.29,5.09,0,0,0,1+2+4+6+8+10,1+4+7,1+2+3+4+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,544,169,0.3,-0.43,0,0
7676,GUNUNG CAPITAL BERHAD,Transportation & Logistics,2018-12-01,8,0.555,0.255,0.655,0.376,-11.0,-4.83,-8.7,0.0,0.0,-12.85,-0.21,0.02,0.02,5.24,-47.5,13.8,-16.85,-9.6,0.0,0.0,0.0,0.0,3.6,-2.05,1.14,0.0,0.78,0.0,0.47,0.0,3.66,0,0,0,1+4,1+2+3,1+2+3+4+5+6,1,76,28,0.05,0.0,41,-8
7218,TRANSOCEAN HOLDINGS BHD,Transportation & Logistics,2018-12-01,6,0.5,0.43,0.59,0.89,-4.0,-13.3,-26.6,0.0,0.0,-14.94,0.13,0.0,0.01,0.68,-44.0,36.5,-3.75,-0.06,0.0,-16.08,0.0,0.0,-0.11,-0.38,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5+6,1+3,1+2+4+5+6,5,28,23,-0.01,0.0,1,5
7210,FREIGHT MANAGEMENT HOLDINGS BERHAD,Transportation & Logistics,2019-06-01,10,0.49,0.38,0.69,1.04,11.0,4.58,9.35,3.5,7.14,4.4,4.71,0.22,0.2,5.19,8.38,19.78,14.08,14.16,0.0,-13.51,-11.65,-2.37,7.59,7.02,6.62,7.59,4.22,3.38,2.93,4.22,53.96,1,0,1,4,+,1+2+4+5+6+8,+,266,545,0.08,0.05,15,34
7187,CHIN HIN GROUP PROPERTY BERHAD,Transportation & Logistics,2019-03-01,8,0.36,0.235,0.41,0.4,39.0,0.92,2.56,0.0,0.0,2.3,2.97,0.01,0.01,0.11,-34.0,35.0,0.5,1.33,0.0,0.0,0.0,0.0,-1.96,2.2,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4+5+6+7+8,3+4+5+6,1+2+3+4+5+6+7,1+2+6,154,151,0.04,0.01,6,-6
7117,CJ CENTURY LOGISTICS HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,0.32,0.205,0.47,0.81,-17.0,-1.91,-5.97,0.75,2.34,-2.36,-2.36,0.51,0.51,7.33,-19.75,29.43,4.84,15.22,0.0,0.0,0.0,0.0,5.24,1.34,3.86,5.24,3.09,1.18,3.06,3.09,46.99,0,0,1,3+7+8,1,1+2+3+4+5+8+9,,271,492,0.11,-0.02,36,1
7053,SEE HUP CONSOLIDATED BERHAD,Transportation & Logistics,2019-03-01,8,0.84,0.795,1.0,0.983,-20.0,-4.22,-5.02,1.8,2.14,-4.29,-5.36,0.2,0.23,0.07,-52.5,130.0,38.75,23.82,0.0,0.0,0.0,0.0,0.38,-2.57,2.78,0.0,1.78,1.51,1.62,0.0,39.55,0,0,0,4+6+7+8,1+3+5+6,1+2+3+4+6+7+8,2,132,96,-0.03,-0.06,12,12
7013,HUBLINE BERHAD,Transportation & Logistics,2019-09-01,10,0.055,0.03,0.06,0.05,-238.0,-0.02,-0.36,0.0,0.0,-0.4,-0.4,0.15,0.17,-55.65,-5.75,3.0,-1.38,0.17,0.0,0.0,0.0,0.0,-1607.7,-5.8,-2696.81,-1607.7,1.76,0.0,0.0,1.76,4.0,0,0,0,4+5+6+7+8+9+10,1+2+3+4+5+7+9,1+2+3+4+5+6+7+8+9+10,2+3+4,634,124,0.08,0.0,24,19
6645,LINGKARAN TRANS KOTA HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,10,4.16,3.3,5.0,2.07,8.0,50.16,12.06,25.0,6.01,24.23,26.94,0.53,0.83,36.19,9.36,25.44,17.4,15.87,8.04,10.16,11.38,8.04,6.68,8.41,7.78,6.68,4.76,4.83,4.95,4.76,66.07,1,0,1,1+2+10,+,8+10,+,311,516,0.17,0.45,221,372
6521,SURIA CAPITAL HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,0.975,0.82,1.45,3.2196,6.0,15.1,15.49,5.0,5.13,4.69,4.77,0.0,0.0,20.16,6.32,15.73,11.02,11.26,0.0,-7.81,-0.3,-0.89,9.51,9.49,10.77,9.51,2.74,2.93,2.87,2.74,28.61,1,0,1,1+4+8,+,1+3+4+6+8+9+10,+,255,275,0.16,0.15,215,104
6254,PDZ HOLDINGS BHD,Transportation & Logistics,2018-12-01,9,0.04,0.01,0.04,0.0641,-3.0,-1.47,-36.75,0.0,0.0,-22.93,-31.79,0.0,0.0,-38.93,-7.5,15.0,3.75,0.68,0.0,0.0,0.0,0.0,-51.53,-33.33,-82.86,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+5+6+9,1+2+3+4+5+8+9,1+2+3+4+5+6+8+9,1+2+3+5+9,164,5,-0.01,-0.02,-3,-6
5614,INTEGRATED LOGISTICS BHD,Transportation & Logistics,2019-12-01,9,0.29,0.22,0.48,0.953,4.0,7.83,27.0,0.0,0.0,8.22,8.23,0.31,0.31,-7.43,-12.0,28.5,8.25,2.1,33.71,33.71,0.0,0.0,-2.36,-33.78,-21.28,0.0,2.54,0.0,1.68,0.0,3.4,0,0,0,1+3+4+5+7,2+3+5+6,1+2+3+4+5+6+7+8+9,3+4+5+6,134,10,0.07,0.08,14,1
5267,XIN HWA HOLDINGS BERHAD,Transportation & Logistics,2019-03-01,5,0.375,0.245,0.795,0.87,23.0,1.62,4.32,0.5,1.33,1.86,1.0,0.49,0.34,10.13,12.56,80.0,46.28,30.18,0.0,-56.89,-44.44,0.0,5.16,3.34,5.16,0.0,0.35,0.58,0.35,0.0,0.0,1,0,1,2+3+4+5,+,1+2+3+4+5,+,111,116,0.09,0.01,18,16
5259,E.A.TECHNIQUE (M) BERHAD,Transportation & Logistics,2019-12-01,6,0.335,0.2,0.485,0.52,5.0,6.86,20.48,0.0,0.0,13.19,14.86,0.78,0.78,2.6,-1.56,55.5,26.97,18.02,20.69,60.69,20.69,0.0,0.94,-1.94,-0.16,0.0,0.57,0.0,0.68,0.0,7.7,0,0,0,1+3+6,3,1+2+3+4+6,5,156,272,0.03,0.07,30,143
5246,WESTPORTS HOLDINGS BERHAD,Transportation & Logistics,2019-12-01,10,3.49,2.97,4.54,0.733,20.0,17.71,5.07,13.0,3.72,24.16,23.75,0.53,0.52,34.4,0.0,27.47,13.74,15.74,2.9,-2.47,2.9,0.0,4.52,4.53,4.33,0.0,2.69,3.4,3.18,0.0,43.78,1,0,1,2+3+10,+,2+5+10,+,943,1742,0.09,0.17,481,960
5173,SHIN YANG SHIPPING CORPORATION BERHAD,Transportation & Logistics,2019-06-01,10,0.195,0.115,0.31,0.88,-2.0,-10.06,-51.59,0.0,0.0,-11.43,-7.73,0.06,0.07,5.9,-4.29,51.5,23.6,17.18,0.0,0.0,0.0,0.0,3.01,-5.76,-2.85,3.01,1.2,0.0,0.0,1.2,8.03,0,0,1,2+3+4+5+10,1,1+3+5+7+8+9+10,,321,580,0.23,-0.07,280,79
