code,category,price,52w low,52w high,market cap,NTA
5250,Consumer Products & Services,1.43,1.27,1.56,"1,763.7M",0.0792
7214,Industrial Products & Services,0.495,0.47,0.785,84.2M,0.81
7086,Industrial Products & Services,0.065,0.06,0.095,17.2M,0.17
5198,Industrial Products & Services,0.49,0.44,0.71,88.2M,0.8829
7131,Property,0.25,0.176,0.335,62.2M,0.35
7120,Consumer Products & Services,0.345,0.33,0.47,67.1M,0.53
1481,Consumer Products & Services,0.135,0.105,0.16,125.4M,0.438
5281,Construction,0.39,0.285,0.485,157.5M,0.47
9148,Industrial Products & Services,2.2,1.74,2.4,45.1M,1.53
7191,Health Care,0.56,0.35,0.64,85.6M,0.54
7146,Industrial Products & Services,0.1,0.08,0.14,32.9M,0.2
6599,Consumer Products & Services,1.43,1.38,1.83,"2,007.7M",1.17
5139,Financial Services,14.34,14.0,17.36,"3,636.9M",6.04
5185,Financial Services,1.91,1.86,2.34,"3,793.3M",4.69
7145,Construction,0.1,0.09,0.17,50.2M,0.51
7315,Consumer Products & Services,0.11,0.1,0.185,19.4M,0.165
7078,Construction,0.39,0.29,0.575,233.2M,0.7847
5099,Consumer Products & Services,1.71,1.64,3.29,"5,714.8M",1.38
5238,Consumer Products & Services,0.15,0.145,0.315,622.2M,0.05
2658,Consumer Products & Services,14.6,14.5,19.4,887.7M,7.66
7609,Industrial Products & Services,0.42,0.395,0.575,127.9M,1.17
5116,Real Estate Investment Trusts,1.34,1.25,1.65,986.2M,1.293
5269,Real Estate Investment Trusts,0.85,0.78,0.94,493.0M,1.0681
5115,Energy,0.14,0.07,0.16,144.9M,0.43
2674,Industrial Products & Services,0.44,0.425,0.575,59.1M,0.91
2488,Financial Services,2.61,2.57,4.35,"4,040.6M",3.8
1163,Financial Services,15.8,12.92,15.8,"2,794.8M",21.44
2682,Industrial Products & Services,0.27,0.2,0.335,39.0M,0.986
4952,Real Estate Investment Trusts,0.765,0.72,0.83,168.3M,1.2783
5127,Real Estate Investment Trusts,0.73,0.725,0.865,418.4M,1.3402
1007,Property,0.485,0.45,0.58,355.6M,1.5
5293,Construction,1.95,1.55,2.05,832.9M,1.45
5120,Real Estate Investment Trusts,0.495,0.47,0.55,339.8M,1.2284
1015,Financial Services,3.96,3.78,4.64,"11,936.2M",6.02
7031,Telecommunications & Media,0.615,0.605,0.7,33.3M,0.8856
5959,Property,1.2,0.87,1.28,438.1M,1.97
6351,Consumer Products & Services,5.68,5.59,6.3,933.7M,1.33
7083,Industrial Products & Services,1.09,0.92,1.24,130.9M,2.49
4758,Industrial Products & Services,0.56,0.43,0.605,134.9M,1.35
6556,Industrial Products & Services,1.22,0.95,1.88,683.1M,2.2
9342,Industrial Products & Services,0.025,0.015,0.05,22.0M,0.1616
5568,Industrial Products & Services,0.45,0.355,0.815,50.8M,1.37
5088,Financial Services,0.8,0.78,1.08,170.9M,1.48
7090,Health Care,2.24,1.97,9.83,"1,057.1M",0.87
5194,Consumer Products & Services,0.01,0.005,0.025,13.4M,-0.01
5015,Industrial Products & Services,2.15,1.95,3.2,433.4M,6.38
6432,Consumer Products & Services,3.7,3.6,4.09,296.0M,3.14
7181,Industrial Products & Services,0.305,0.275,0.605,88.1M,0.38
7007,Property,0.29,0.25,0.5,14.1M,0.28
7722,Consumer Products & Services,0.5,0.325,0.57,116.3M,0.84
7129,Consumer Products & Services,2.2,2.12,2.7,428.5M,3.08
0159,Telecommunications & Media,0.07,0.055,0.18,16.8M,-0.0153
4057,Property,0.13,0.11,0.17,134.8M,1.023
7162,Industrial Products & Services,0.7,0.59,0.715,191.9M,1.42
7054,Plantation,0.15,0.11,0.235,99.0M,0.2914
6399,Telecommunications & Media,1.29,1.24,1.7,"6,726.7M",0.1595
8176,Industrial Products & Services,1.78,1.32,1.85,"2,143.8M",0.54
7048,Consumer Products & Services,4.13,3.92,4.8,"1,047.6M",2.04
5130,Real Estate Investment Trusts,1.05,1.02,1.27,214.9M,1.3037
7099,Industrial Products & Services,0.415,0.375,0.75,88.5M,1.61
8885,Consumer Products & Services,0.135,0.115,0.26,127.5M,0.2342
7579,Industrial Products & Services,0.61,0.58,0.81,181.6M,0.698
6888,Telecommunications & Media,4.22,3.7,5.28,"38,670.3M",1.82
5106,Real Estate Investment Trusts,1.78,1.55,1.99,"2,554.7M",1.3394
2305,Property,4.44,3.8,4.7,332.3M,6.91
5021,Industrial Products & Services,0.295,0.255,0.375,112.2M,0.71
7005,Industrial Products & Services,0.335,0.265,0.515,16.1M,0.57
7251,Energy,0.025,0.02,0.145,20.9M,-0.2354
1899,Plantation,17.4,15.1,17.6,"7,585.5M",14.43
6602,Property,0.335,0.22,0.395,138.2M,1.15
5190,Construction,0.145,0.13,0.23,125.0M,0.71
3239,Property,0.295,0.275,0.34,754.7M,0.85
3395,Industrial Products & Services,0.245,0.225,0.325,"1,277.7M",1.2176
5196,Consumer Products & Services,1.36,1.28,1.81,519.7M,1.0324
4219,Consumer Products & Services,0.185,0.15,0.305,925.1M,0.83
6025,Telecommunications & Media,0.105,0.075,0.27,24.7M,-0.03
1562,Consumer Products & Services,2.63,2.11,2.82,"3,553.2M",0.58
5248,Consumer Products & Services,2.1,2.02,2.78,"2,443.1M",0.4164
9814,Property,0.25,0.11,0.29,51.7M,0.89
5258,Financial Services,4.45,3.46,4.75,"7,851.1M",3.41
6173,Property,0.375,0.3,0.585,113.9M,1.47
5932,Construction,0.085,0.08,0.295,64.9M,0.6649
6998,Industrial Products & Services,0.11,0.105,0.15,31.9M,0.3
5032,Transportation & Logistics,4.39,3.55,5.06,"2,019.4M",2.7959
5069,Plantation,5.3,5.26,7.54,495.6M,5.85
0168,Industrial Products & Services,0.605,0.51,0.79,312.2M,0.4
9288,Consumer Products & Services,1.0,0.215,1.06,201.6M,0.4775
7036,Industrial Products & Services,0.045,0.04,0.05,240.3M,0.13
8133,Transportation & Logistics,1.23,1.12,1.4,305.6M,0.94
2771,Industrial Products & Services,0.945,0.915,1.63,"1,915.5M",2.59
5254,Plantation,0.72,0.555,1.0,"1,612.8M",1.22
6297,Industrial Products & Services,1.16,0.97,1.35,139.3M,1.97
5100,Industrial Products & Services,1.01,0.95,1.17,189.6M,1.0
9474,Consumer Products & Services,0.325,0.055,0.39,76.8M,-0.04
8761,Construction,0.785,0.725,0.8,271.2M,1.65
9938,Industrial Products & Services,0.315,0.14,0.335,64.7M,0.57
4162,Consumer Products & Services,15.3,14.54,38.58,"4,368.6M",1.32
