name,category,Annual,nMerge,nSplit,NTA,current_price,52w low,52w high,market cap,intrinsic,price_A,price_B,code,nYear,price,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,EPS,EPS avg,EPS std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std
PIMPINAN EHSAN BERHAD,Construction,2018-12-31,0,0,1.04,0.81,0.74,0.9,56.0M,0.23,0.17,0.79,5622,9,0.74,269.46,73.03,105.39,32.08,56.49,323.39,843.16,199.4,41.62,58.22,14.98,13.3,0.37,196.38,48.23,121.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREST BUILDER HOLDINGS BERHAD,Construction,2018-12-31,0,0,2.95,0.905,0.855,1.21,160.1M,2.38,1.78,0.97,8591,10,0.87,47.61,21.44,14.4,7.6,4.08,38.61,72.9,41.4,17.84,11.0,7.86,6.19,2.1,9.62,7.08,4.51,4.5,4.1,0.57,31.22,15.92,5.14,2.13
SYMPHONY LIFE BERHAD,Property,2019-03-31,0,0,1.62,0.405,0.33,0.45,243.2M,0.89,0.67,0.37,1538,10,0.42,34.82,18.72,9.99,7.62,4.12,42.06,108.34,20.75,14.83,7.95,16.56,9.11,2.87,13.7,8.1,6.47,0.0,0.51,1.02,7.5,15.11,0.66,1.42
ASIAN PAC HOLDINGS BERHAD,Property,2019-03-31,0,0,1.023,0.13,0.11,0.17,134.8M,0.1,0.08,0.13,4057,10,0.125,28.33,35.38,44.64,9.64,13.03,122.27,277.36,5.09,6.67,10.72,37.4,43.74,3.53,10.99,6.22,5.49,0.0,0.03,0.09,0.08,0.24,0.13,0.39
EWEIN BERHAD,Property,2018-12-31,0,0,0.87,0.55,0.52,0.74,165.9M,1.09,0.82,0.59,7249,10,0.53,26.35,9.25,6.53,8.78,4.68,41.25,124.05,13.96,5.86,3.55,11.97,7.06,3.8,32.2,17.8,15.36,0.0,0.25,0.75,2.88,8.64,0.31,0.94
KEN HOLDINGS BERHAD,Property,2018-12-31,0,1,1.78,0.585,0.53,0.78,112.2M,2.82,2.11,0.61,7323,10,0.63,21.3,18.94,4.86,12.23,3.03,11.18,44.32,13.42,18.39,5.29,34.08,5.13,4.7,5.8,5.62,1.36,1.5,3.8,1.47,21.61,8.54,3.85,1.26
SUNSURIA BERHAD,Property,2019-09-30,0,0,1.09,0.61,0.58,0.92,546.5M,2.52,1.89,0.69,3743,9,0.665,21.29,7.19,6.38,6.7,4.2,10.03,36.66,14.16,5.86,5.22,15.38,9.19,4.7,32.9,20.74,19.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEDERAL INTERNATIONAL HOLDINGS BERHAD,Consumer Products & Services,2019-06-30,0,0,0.9528,0.315,0.28,0.53,34.3M,0.45,0.34,0.36,8605,9,0.375,20.64,13.34,7.79,8.84,4.38,78.19,135.32,7.74,4.5,2.47,4.08,2.12,4.84,6.78,7.17,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUBLIC PACKAGES HOLDINGS BHD,Industrial Products & Services,2018-12-31,0,0,1.29,1.08,0.475,1.17,203.7M,2.19,1.64,0.7,8273,10,0.5,20.15,20.18,7.43,8.11,1.06,6.82,31.87,10.08,10.27,2.53,8.0,1.66,4.96,5.54,5.54,1.65,0.0,0.5,1.0,6.36,12.73,1.7,3.51
AIRASIA GROUP BERHAD,Consumer Products & Services,2018-12-31,0,0,1.38,1.71,1.64,3.29,"5,714.8M",4.36,3.27,2.18,5099,10,2.97,19.95,12.8,6.9,18.44,9.32,70.2,176.36,59.2,30.96,18.45,14.43,7.11,5.01,47.3,17.17,24.95,12.0,3.5,6.09,10.87,19.68,1.19,2.17
OSK HOLDINGS BERHAD,Property,2018-12-31,0,0,2.37,1.04,0.835,1.05,"2,179.1M",0.73,0.55,0.91,5053,10,0.87,19.15,19.16,17.98,11.33,9.83,156.46,503.3,16.66,27.96,25.96,96.24,120.52,5.22,16.23,9.77,8.04,5.0,7.85,4.75,32.77,15.94,5.26,2.92
MASTER-PACK GROUP BERHAD,Industrial Products & Services,2018-12-31,0,0,1.88,2.6,0.575,2.72,142.0M,1.77,1.33,1.28,7029,10,0.575,18.32,13.88,5.42,6.07,2.28,23.4,89.76,10.54,7.04,2.52,4.6,1.83,5.46,11.15,8.63,3.98,1.5,0.8,0.71,10.68,9.66,1.48,1.33
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2018-12-31,0,0,1.3402,0.73,0.725,0.865,418.4M,3.25,2.44,0.77,5127,10,0.82,17.29,11.65,5.23,9.04,3.38,34.7,110.83,14.17,10.36,4.08,92.0,41.49,5.79,14.04,10.64,5.27,6.1,6.67,0.66,77.6,38.48,7.45,0.7
RCE CAPITAL BERHAD,Financial Services,2019-03-31,1,0,1.8,1.66,1.44,1.81,614.0M,2.86,2.14,1.56,9296,10,1.63,17.15,17.56,12.72,12.99,7.84,133.0,290.68,28.02,12.14,10.18,28.97,11.88,5.83,53.08,18.66,29.58,9.0,4.22,4.13,136.76,191.75,9.05,13.4
INSAS BERHAD,Financial Services,2019-06-30,0,0,2.65,0.81,0.645,0.92,561.6M,1.24,0.93,0.74,3379,10,0.755,16.35,18.18,6.33,7.28,3.46,57.93,137.5,12.35,13.67,7.04,31.05,15.94,6.12,12.8,7.0,5.18,2.0,0.83,0.62,6.14,5.46,1.09,0.93
THONG GUAN INDUSTRIES BERHAD,Industrial Products & Services,2018-12-31,0,0,3.11,3.42,2.18,3.67,631.7M,9.19,6.89,2.67,7034,10,2.2,15.13,14.88,4.63,9.64,2.26,15.83,43.08,33.29,28.5,10.65,4.77,1.33,6.61,8.3,7.47,2.51,8.0,7.4,2.11,27.13,5.45,3.96,1.15
JAYCORP BERHAD,Consumer Products & Services,2019-07-31,0,0,1.23,1.08,0.8,1.22,148.2M,3.11,2.33,0.94,7152,10,0.97,15.12,10.48,4.21,8.98,4.36,44.98,111.82,14.67,9.13,5.08,5.27,1.83,6.61,18.18,12.06,7.01,10.0,6.0,3.15,70.47,16.95,6.93,2.36
I-BERHAD,Property,2018-12-31,0,1,0.97,0.235,0.21,0.45,256.3M,0.27,0.2,0.29,4251,10,0.38,14.58,9.33,5.31,6.71,5.47,137.82,351.43,5.54,8.94,10.62,19.4,8.1,6.86,60.67,26.2,33.15,0.0,0.02,0.02,0.54,1.09,0.01,0.01
