code,category,current_price,52w low,52w high,market cap,NTA
5250,Consumer Products & Services,1.39,1.27,1.56,"1,714.4M",0.0792
7214,Industrial Products & Services,0.495,0.47,0.565,84.2M,0.81
7086,Industrial Products & Services,0.07,0.06,0.095,18.5M,0.17
5198,Industrial Products & Services,0.445,0.415,0.71,80.1M,0.8829
7131,Property,0.275,0.176,0.335,68.4M,0.35
7120,Consumer Products & Services,0.34,0.315,0.47,66.1M,0.53
1481,Consumer Products & Services,0.135,0.12,0.175,125.4M,0.438
5281,Construction,0.35,0.31,0.485,141.4M,0.47
9148,Industrial Products & Services,2.2,1.74,2.4,45.1M,1.53
7191,Health Care,0.7,0.35,0.97,106.9M,0.54
7146,Industrial Products & Services,0.095,0.08,0.13,31.3M,0.2
6599,Consumer Products & Services,1.34,1.31,1.83,"1,881.4M",1.17
5139,Financial Services,13.22,12.66,17.36,"3,352.8M",6.04
5185,Financial Services,1.83,1.81,2.34,"3,634.4M",4.69
7145,Construction,0.1,0.09,0.17,50.2M,0.51
7315,Consumer Products & Services,0.095,0.08,0.185,16.7M,0.165
7078,Construction,0.35,0.325,0.575,209.3M,0.7847
5099,Consumer Products & Services,1.31,1.12,3.29,"4,378.0M",1.38
5238,Consumer Products & Services,0.135,0.11,0.295,560.0M,0.05
2658,Consumer Products & Services,13.98,13.96,19.0,850.0M,7.66
7609,Industrial Products & Services,0.435,0.395,0.575,132.5M,1.18
5116,Real Estate Investment Trusts,1.36,1.19,1.65,"1,000.9M",1.293
5269,Real Estate Investment Trusts,0.83,0.795,0.94,481.4M,1.0681
5115,Energy,0.15,0.085,0.2,165.0M,0.43
2674,Industrial Products & Services,0.43,0.4,0.575,57.8M,0.91
2488,Financial Services,2.47,2.38,4.26,"3,823.8M",3.8
1163,Financial Services,14.3,13.0,17.02,"2,529.5M",21.44
2682,Industrial Products & Services,0.27,0.215,0.33,39.0M,0.986
4952,Real Estate Investment Trusts,0.79,0.735,0.83,173.8M,1.2824
5127,Real Estate Investment Trusts,0.71,0.71,0.865,407.0M,1.3402
1007,Property,0.46,0.45,0.58,337.2M,1.5
5293,Construction,1.72,1.55,2.05,734.6M,1.45
5120,Real Estate Investment Trusts,0.485,0.47,0.55,332.9M,1.2284
1015,Financial Services,3.83,3.66,4.64,"11,544.3M",6.02
7031,Telecommunications & Media,0.62,0.605,0.7,33.6M,0.9262
5959,Property,1.2,0.875,1.28,438.1M,1.97
6351,Consumer Products & Services,5.6,5.5,6.3,920.6M,1.33
7083,Industrial Products & Services,1.15,0.92,1.24,138.1M,2.49
4758,Industrial Products & Services,0.66,0.435,0.72,159.0M,1.38
6556,Industrial Products & Services,1.16,0.95,1.88,649.5M,2.2
9342,Industrial Products & Services,0.02,0.015,0.05,17.6M,0.1616
5568,Industrial Products & Services,0.47,0.355,0.8,53.1M,1.37
5088,Financial Services,0.77,0.77,1.08,164.4M,1.48
7090,Health Care,2.3,1.97,9.83,"1,086.2M",0.87
5194,Consumer Products & Services,0.01,0.005,0.025,13.4M,-0.01
5015,Industrial Products & Services,2.23,1.95,3.2,449.6M,6.38
6432,Consumer Products & Services,3.54,3.52,4.09,283.2M,3.14
7181,Industrial Products & Services,0.305,0.225,0.605,89.3M,0.38
7007,Property,0.29,0.25,0.5,14.1M,0.27
7722,Consumer Products & Services,0.5,0.35,0.57,116.3M,0.84
7129,Consumer Products & Services,2.0,2.0,2.62,389.5M,3.08
0159,Telecommunications & Media,0.055,0.055,0.18,13.2M,-0.0153
4057,Property,0.125,0.11,0.17,129.6M,1.023
7162,Industrial Products & Services,0.69,0.63,0.715,189.1M,1.42
7054,Plantation,0.12,0.1,0.235,79.2M,0.2914
6399,Telecommunications & Media,1.22,1.18,1.69,"6,361.7M",0.1595
8176,Industrial Products & Services,1.63,1.32,1.85,"1,963.1M",0.54
7048,Consumer Products & Services,4.05,3.92,4.8,"1,027.3M",2.03
5130,Real Estate Investment Trusts,1.06,1.02,1.27,216.9M,1.2786
7099,Industrial Products & Services,0.445,0.375,0.75,94.9M,1.61
8885,Consumer Products & Services,0.135,0.115,0.26,127.5M,0.2342
7579,Industrial Products & Services,0.55,0.515,0.81,164.3M,0.698
6888,Telecommunications & Media,4.35,3.71,5.28,"39,861.5M",1.82
5106,Real Estate Investment Trusts,1.8,1.67,1.99,"2,583.5M",1.4484
2305,Property,4.9,3.8,4.98,366.8M,6.91
5021,Industrial Products & Services,0.26,0.25,0.375,98.9M,0.71
7005,Industrial Products & Services,0.33,0.28,0.515,15.9M,0.57
7251,Energy,0.025,0.02,0.145,20.9M,-0.2354
1899,Plantation,16.38,15.1,17.68,"7,140.9M",14.43
6602,Property,0.34,0.22,0.395,140.3M,1.15
5190,Construction,0.135,0.125,0.23,116.3M,0.71
3239,Property,0.3,0.275,0.32,767.4M,0.85
3395,Industrial Products & Services,0.235,0.225,0.285,"1,225.5M",1.2176
5196,Consumer Products & Services,1.22,1.22,1.81,466.2M,1.0423
4219,Consumer Products & Services,0.175,0.15,0.3,875.1M,0.83
6025,Telecommunications & Media,0.105,0.075,0.27,24.7M,-0.03
1562,Consumer Products & Services,2.56,2.23,2.82,"3,458.6M",0.58
5248,Consumer Products & Services,1.87,1.74,2.78,"2,175.8M",0.4164
9814,Property,0.235,0.11,0.29,48.6M,0.89
5258,Financial Services,3.9,3.78,4.75,"6,991.4M",3.41
6173,Property,0.36,0.315,0.585,109.4M,1.47
5932,Construction,0.085,0.075,0.235,64.9M,0.6649
6998,Industrial Products & Services,0.115,0.105,0.15,33.3M,0.3
5032,Transportation & Logistics,4.64,3.55,5.06,"2,134.4M",2.7959
5069,Plantation,5.5,5.1,7.1,514.3M,5.85
0168,Industrial Products & Services,0.6,0.51,0.79,309.6M,0.4
9288,Consumer Products & Services,0.9,0.23,1.06,181.4M,0.4775
7036,Industrial Products & Services,0.04,0.04,0.05,213.6M,0.13
8133,Transportation & Logistics,1.19,1.1,1.4,295.7M,0.94
2771,Industrial Products & Services,0.84,0.805,1.56,"1,702.7M",2.59
5254,Plantation,0.585,0.555,1.0,"1,310.4M",1.22
6297,Industrial Products & Services,1.15,1.05,1.35,138.1M,1.97
5100,Industrial Products & Services,1.03,0.955,1.17,193.3M,1.0
9474,Consumer Products & Services,0.26,0.055,0.39,61.4M,-0.04
8761,Construction,0.765,0.725,0.8,264.3M,1.65
9938,Industrial Products & Services,0.3,0.16,0.56,61.6M,0.57
4162,Consumer Products & Services,12.26,10.22,37.68,"3,500.6M",1.32
7221,Industrial Products & Services,0.265,0.26,0.445,26.0M,1.12
7188,Industrial Products & Services,0.145,0.085,0.23,20.5M,0.16
5210,Energy,0.39,0.15,0.555,"2,291.8M",0.59
1818,Financial Services,5.86,5.4,7.35,"4,737.8M",0.94
2828,Consumer Products & Services,1.26,1.21,1.61,204.1M,1.35
7174,Consumer Products & Services,0.385,0.345,0.68,262.6M,0.69
7154,Consumer Products & Services,0.435,0.32,1.19,71.5M,0.54
2852,Industrial Products & Services,2.21,2.09,3.92,"2,374.4M",2.46
7128,Consumer Products & Services,0.26,0.2,0.295,51.2M,0.58
5105,Industrial Products & Services,3.05,2.55,3.99,586.1M,6.1122
5180,Real Estate Investment Trusts,0.975,0.965,1.14,"2,000.5M",1.2378
5257,Energy,1.06,0.585,1.47,247.9M,0.7082
5245,Consumer Products & Services,2.56,1.8,2.57,557.3M,0.67
2836,Consumer Products & Services,33.32,20.66,34.0,"10,187.5M",0.46
7076,Industrial Products & Services,0.96,0.795,1.25,516.7M,1.45
7035,Consumer Products & Services,0.51,0.47,0.69,321.7M,0.42
5195,Technology,0.12,0.11,0.165,60.2M,0.2626
8052,Industrial Products & Services,0.45,0.36,0.6,40.5M,0.53
8982,Plantation,0.575,0.48,0.74,183.1M,1.11
7209,Consumer Products & Services,0.29,0.26,0.37,37.0M,1.09
2879,Industrial Products & Services,1.24,1.19,2.19,207.9M,1.86
5273,Industrial Products & Services,0.61,0.555,0.92,339.4M,0.78
7187,Transportation & Logistics,0.3,0.265,0.38,89.1M,0.39
1929,Plantation,6.85,6.03,7.15,625.8M,7.47
5007,Industrial Products & Services,1.38,1.34,1.93,413.4M,1.97
5229,Industrial Products & Services,0.01,0.01,0.01,13.6M,0.35
5188,Consumer Products & Services,0.03,0.025,0.065,20.0M,0.19
5797,Industrial Products & Services,1.23,1.15,1.71,162.0M,3.84
7016,Industrial Products & Services,0.38,0.3,0.5,64.1M,1.82
1023,Financial Services,5.15,4.82,5.89,"51,103.3M",5.765
7117,Transportation & Logistics,0.39,0.33,0.54,153.7M,0.81
7202,Consumer Products & Services,0.93,0.93,1.15,112.1M,0.76
7018,Industrial Products & Services,0.03,0.025,0.045,17.5M,0.06
7986,Industrial Products & Services,0.41,0.35,0.5,20.5M,0.91
5104,Consumer Products & Services,0.09,0.055,0.095,64.8M,0.1
5071,Energy,1.38,0.88,1.51,738.7M,2.2874
7205,Consumer Products & Services,1.83,1.8,2.22,418.7M,1.14
2127,Industrial Products & Services,0.84,0.75,1.02,489.7M,0.52
7195,Industrial Products & Services,0.135,0.045,0.31,18.9M,0.1964
5136,Transportation & Logistics,0.635,0.625,0.97,80.6M,1.08
5037,Industrial Products & Services,0.02,0.015,0.03,49.5M,0.04
8044,Industrial Products & Services,1.1,1.1,1.35,45.1M,1.12
8435,Industrial Products & Services,0.6,0.4,0.845,44.8M,1.27
5738,Property,1.05,1.03,1.58,289.5M,3.0744
5049,Property,1.4,1.21,1.56,140.0M,4.06
6718,Property,1.19,1.15,1.44,333.8M,3.22
8591,Construction,0.96,0.89,1.21,169.8M,2.95
5094,Industrial Products & Services,1.03,0.975,1.2,391.4M,2.22
0051,Technology,0.135,0.125,0.25,116.0M,0.11
9423,Consumer Products & Services,0.365,0.365,0.51,46.1M,0.68
2925,Consumer Products & Services,1.81,1.2,2.14,182.3M,2.69
7157,Industrial Products & Services,0.35,0.295,0.56,35.0M,0.6329
5082,Industrial Products & Services,0.23,0.23,0.38,17.3M,0.79
5184,Industrial Products & Services,1.37,1.25,1.77,640.4M,1.62
7204,Technology,0.845,0.49,0.925,947.7M,0.3136
7179,Consumer Products & Services,0.035,0.025,0.035,93.7M,0.02
4456,Technology,0.25,0.23,0.34,439.5M,0.27
8125,Industrial Products & Services,2.28,1.55,2.4,747.6M,0.66
3484,Property,0.4,0.335,0.565,127.3M,0.564
5276,Industrial Products & Services,0.465,0.455,0.68,141.4M,0.41
8338,Technology,0.22,0.16,0.28,102.0M,0.03
5216,Technology,1.52,0.425,1.69,"2,052.0M",0.2032
0091,Energy,0.01,0.005,0.02,20.4M,-0.0805
5141,Energy,2.85,0.705,2.95,"3,024.7M",1.34
7119,Consumer Products & Services,1.08,0.76,1.13,144.7M,1.92
5132,Energy,0.87,0.8,1.28,349.4M,0.85
7212,Industrial Products & Services,0.205,0.18,0.355,241.9M,0.44
7277,Energy,3.42,2.95,3.57,"19,294.4M",0.697
6947,Telecommunications & Media,4.41,4.2,5.1,"34,287.8M",0.08
0029,Technology,0.045,0.035,0.06,29.6M,0.09
7528,Construction,1.7,1.6,1.9,157.6M,4.41
5908,Consumer Products & Services,2.56,2.27,2.87,403.6M,3.8246
7114,Industrial Products & Services,0.3,0.26,0.66,78.6M,0.47
5835,Industrial Products & Services,0.11,0.08,0.28,34.5M,0.04
5265,Industrial Products & Services,0.155,0.075,0.18,37.9M,0.096
7169,Industrial Products & Services,1.24,1.2,1.3,204.9M,1.69
7198,Property,0.075,0.05,0.095,44.1M,0.2
1619,Consumer Products & Services,2.29,1.68,3.0,"4,427.1M",3.49
7233,Industrial Products & Services,4.44,1.39,4.52,"1,168.6M",0.77
7148,Health Care,1.61,1.01,1.78,"1,101.9M",0.75
3948,Plantation,0.41,0.395,0.55,346.9M,1.5
3026,Consumer Products & Services,40.4,40.0,64.78,"2,585.6M",2.34
7165,Industrial Products & Services,0.355,0.335,2.0,82.7M,0.4793
5178,Industrial Products & Services,0.065,0.065,0.105,34.9M,0.1019
5259,Transportation & Logistics,0.335,0.31,0.525,168.8M,0.5
3417,Property,0.555,0.55,1.1,808.6M,1.36
2097,Consumer Products & Services,0.08,0.075,0.125,25.9M,0.58
2143,Financial Services,0.24,0.23,0.325,115.2M,0.43
8206,Property,0.65,0.61,0.995,"1,913.8M",1.54
5283,Property,0.83,0.6,1.14,"1,992.0M",1.12
0059,Telecommunications & Media,0.185,0.16,0.31,58.0M,0.3537
3557,Property,0.35,0.29,0.36,283.0M,0.429
5253,Construction,0.695,0.39,0.88,929.6M,0.3
5036,Technology,0.4,0.355,0.63,24.0M,0.4112
7471,Utilities,0.205,0.105,0.245,82.7M,0.78
0064,Industrial Products & Services,0.155,0.135,0.26,109.9M,0.17
8907,Industrial Products & Services,0.35,0.34,0.505,96.3M,1.32
5208,Industrial Products & Services,1.45,1.28,1.6,188.5M,1.33
7182,Consumer Products & Services,0.05,0.035,0.07,15.6M,-0.1
8877,Construction,0.69,0.49,1.04,"1,831.8M",0.95
9016,Industrial Products & Services,0.72,0.68,0.85,118.2M,2.66
5228,Financial Services,1.63,1.3,1.77,484.3M,1.41
0090,Technology,0.82,0.76,1.25,549.0M,0.16
9091,Consumer Products & Services,0.21,0.15,0.25,22.2M,0.43
6076,Property,0.29,0.265,0.43,88.9M,1.3
7149,Consumer Products & Services,0.95,0.82,1.12,67.2M,1.01
5056,Industrial Products & Services,0.745,0.56,0.91,330.3M,1.58
8613,Property,1.2,0.9,1.55,163.4M,0.8852
7217,Industrial Products & Services,0.345,0.285,0.53,65.0M,1.28
7773,Industrial Products & Services,0.32,0.31,0.42,53.1M,1.68
5081,Consumer Products & Services,0.55,0.51,0.675,130.5M,0.76
6815,Property,0.605,0.56,0.765,77.4M,2.69
7208,Consumer Products & Services,0.225,0.08,0.23,60.1M,0.2478
7094,Consumer Products & Services,0.39,0.32,0.48,17.3M,0.9814
5101,Industrial Products & Services,0.24,0.235,0.41,203.1M,1.4
5205,Construction,0.355,0.32,0.62,277.3M,1.19
7249,Property,0.485,0.465,0.74,146.3M,0.87
0065,Technology,0.475,0.37,0.745,292.3M,0.19
2984,Industrial Products & Services,1.38,1.13,1.44,117.5M,2.66
7047,Construction,0.345,0.34,0.52,129.0M,0.7868
5029,Plantation,2.66,2.44,2.9,"1,579.6M",1.87
6041,Property,0.305,0.29,0.4,51.4M,1.01
7229,Industrial Products & Services,2.71,2.49,3.02,606.7M,3.09
2755,Consumer Products & Services,0.6,0.6,1.06,150.0M,0.62
8605,Consumer Products & Services,0.29,0.26,0.53,31.6M,0.9528
5222,Plantation,1.34,0.845,1.59,"4,888.5M",1.13
6939,Consumer Products & Services,0.54,0.455,0.54,275.4M,0.99
0149,Industrial Products & Services,0.315,0.3,0.5,30.9M,0.51
3107,Industrial Products & Services,1.7,1.69,1.97,416.9M,2.37
9318,Industrial Products & Services,0.36,0.325,0.56,173.0M,0.8267
5197,Industrial Products & Services,1.0,0.985,1.87,106.9M,1.71
9172,Consumer Products & Services,1.59,1.48,2.07,393.3M,1.22
5277,Industrial Products & Services,0.835,0.275,0.89,452.7M,0.1625
3689,Consumer Products & Services,33.2,31.78,36.96,"12,177.0M",7.24
7210,Transportation & Logistics,0.61,0.55,0.7,170.3M,1.05
0128,Technology,2.5,0.87,2.68,"2,633.6M",0.34
9377,Technology,0.05,0.04,0.1,7.1M,0.04
7184,Consumer Products & Services,2.67,0.71,3.72,"1,249.6M",0.1
5226,Construction,1.05,0.97,1.54,519.3M,1.04
9261,Construction,0.625,0.545,0.96,455.0M,1.11
5398,Construction,3.98,2.64,4.3,"9,876.4M",3.35
5209,Utilities,2.79,2.57,2.96,"3,582.4M",0.7674
0078,Transportation & Logistics,0.255,0.24,0.395,"1,438.6M",0.09
7197,Industrial Products & Services,0.49,0.415,0.78,39.2M,1.24
3182,Consumer Products & Services,5.4,5.3,7.62,"20,935.2M",9.04
4715,Consumer Products & Services,3.03,2.92,4.0,"17,992.3M",3.22
2291,Plantation,10.48,9.17,11.14,"9,404.3M",5.4
3204,Construction,0.855,0.805,1.38,481.6M,0.9178
5079,Consumer Products & Services,0.135,0.1,0.415,17.0M,0.3
0021,Technology,1.58,1.24,1.8,"1,183.8M",0.5947
1147,Property,0.205,0.155,0.29,93.2M,0.63
5220,Industrial Products & Services,0.355,0.335,0.515,95.5M,0.878
7022,Technology,2.45,1.5,2.48,"1,640.1M",0.45
5020,Property,0.35,0.33,0.4,280.0M,1.41
7382,Plantation,0.495,0.35,0.52,110.3M,1.99
5649,Industrial Products & Services,0.195,0.17,0.305,26.7M,0.51
7192,Industrial Products & Services,0.185,0.145,0.245,22.5M,0.16
2135,Plantation,0.7,0.53,0.74,188.3M,1.07
7096,Industrial Products & Services,0.095,0.085,0.145,93.1M,0.11
5592,Consumer Products & Services,0.485,0.415,0.5,95.5M,1.09
7010,Property,0.43,0.41,0.67,17.2M,1.08
0056,Technology,0.245,0.195,0.3,121.9M,0.2376
0082,Telecommunications & Media,0.695,0.305,0.775,648.8M,0.3
0136,Consumer Products & Services,0.135,0.11,0.165,45.1M,0.164
9962,Property,0.275,0.245,0.35,103.3M,0.95
5102,Consumer Products & Services,3.08,2.2,5.03,"3,106.1M",1.7243
3247,Industrial Products & Services,0.48,0.4,0.535,133.4M,1.83
7676,Transportation & Logistics,0.62,0.265,0.64,147.5M,0.408
1503,Property,0.66,0.64,0.8,462.3M,1.8738
7668,Consumer Products & Services,2.0,1.94,2.94,600.6M,1.03
7253,Energy,0.385,0.32,0.51,84.2M,0.47
3034,Industrial Products & Services,9.41,9.31,10.26,"23,427.9M",2.86
5138,Plantation,1.7,1.4,2.14,"1,360.0M",2.03
2062,Transportation & Logistics,0.605,0.56,0.76,242.2M,1.02
7501,Plantation,0.55,0.42,0.8,102.0M,1.48
5008,Consumer Products & Services,3.85,3.6,3.98,263.7M,4.57
5168,Health Care,5.8,4.52,6.44,"19,601.0M",0.7
5187,Consumer Products & Services,0.065,0.055,0.155,30.4M,0.42
7105,Property,1.23,1.2,1.3,521.3M,0.48
3255,Consumer Products & Services,28.2,20.68,28.76,"8,519.2M",1.0
5028,Technology,1.03,0.645,1.44,104.3M,0.97
5121,Real Estate Investment Trusts,0.965,0.94,1.17,445.8M,1.3787
4324,Energy,3.46,3.36,6.48,"1,038.0M",6.594
5095,Industrial Products & Services,0.435,0.42,0.73,245.8M,0.76
5151,Industrial Products & Services,0.6,0.52,1.05,492.4M,0.25
3298,Industrial Products & Services,0.76,0.66,0.82,152.3M,1.05
5072,Industrial Products & Services,0.205,0.18,0.33,275.6M,0.64
5199,Energy,0.91,0.79,1.24,"1,445.3M",0.79
8443,Industrial Products & Services,0.565,0.465,0.635,188.7M,1.03
5169,Construction,0.49,0.33,0.695,202.1M,1.04
9601,Industrial Products & Services,0.12,0.07,0.14,55.2M,0.09
5165,Industrial Products & Services,0.51,0.495,0.81,44.9M,0.696
6238,Construction,1.31,1.3,1.61,763.3M,1.4801
5160,Consumer Products & Services,0.63,0.585,0.75,189.0M,0.55
5819,Financial Services,16.1,15.2,21.66,"34,900.3M",12.74
5274,Financial Services,9.38,9.38,9.6,"2,518.3M",3.4
1082,Financial Services,17.28,15.92,20.14,"19,829.1M",17.13
3301,Consumer Products & Services,9.6,9.19,11.6,"3,147.9M",5.39
5291,Industrial Products & Services,0.42,0.32,0.58,138.0M,0.35
0185,Industrial Products & Services,0.82,0.735,1.29,406.6M,0.43
5062,Property,0.35,0.3,0.465,123.2M,1.61
7013,Transportation & Logistics,0.045,0.035,0.065,171.9M,0.06
5000,Industrial Products & Services,1.53,0.535,1.69,755.7M,0.84
5024,Consumer Products & Services,0.91,0.89,1.06,728.0M,0.19
8478,Consumer Products & Services,0.27,0.235,0.35,20.2M,0.296
4251,Property,0.225,0.195,0.45,251.1M,0.97
5084,Property,0.57,0.52,0.75,283.0M,0.7125
5108,Closed-End Fund,2.32,2.26,2.49,324.8M,3.18
5255,Energy,0.265,0.035,2.0,630.1M,0.0352
9113,Consumer Products & Services,0.295,0.28,0.49,95.5M,0.29
9687,Property,1.76,0.99,1.9,818.1M,1.177
5606,Property,3.37,2.42,4.06,"2,326.4M",5.2265
5227,Real Estate Investment Trusts,1.92,1.74,2.1,"6,819.5M",1.0663
5225,Health Care,5.78,5.13,5.95,"50,713.7M",2.54
3336,Construction,2.2,1.76,2.51,"8,006.4M",2.65
2216,Plantation,1.92,1.35,2.48,"1,690.7M",1.51
5268,Construction,0.075,0.07,0.29,44.1M,0.16
7222,Industrial Products & Services,2.15,1.85,2.33,172.0M,1.62
7243,Consumer Products & Services,0.22,0.015,0.305,146.2M,0.073
0166,Technology,1.79,1.27,2.09,"5,775.6M",0.3587
2607,Plantation,0.6,0.55,0.655,252.5M,1.64
9393,Technology,0.09,0.07,0.13,12.0M,0.1
6262,Plantation,0.82,0.58,0.995,392.7M,0.64
3379,Financial Services,0.85,0.695,0.92,589.3M,2.65
0192,Construction,0.28,0.255,0.325,149.9M,0.255
5614,Transportation & Logistics,0.3,0.27,0.48,58.5M,0.9834
1961,Plantation,4.5,4.1,4.82,"28,282.5M",1.51
5249,Property,1.15,1.03,1.67,"6,332.1M",3.4
5673,Industrial Products & Services,0.36,0.315,0.53,26.1M,0.9
5107,Consumer Products & Services,0.7,0.64,1.27,61.6M,1.53
7183,Industrial Products & Services,0.055,0.05,0.16,10.2M,0.25
8834,Construction,0.41,0.36,0.63,76.5M,0.59
1589,Property,0.725,0.445,1.32,607.1M,0.96
5175,Property,0.165,0.155,0.235,80.9M,0.83
7043,Industrial Products & Services,1.0,0.95,1.25,126.8M,0.73
7223,Consumer Products & Services,0.055,0.03,0.075,57.0M,0.12
4723,Construction,1.38,0.53,1.51,898.5M,1.51
8648,Industrial Products & Services,0.1,0.1,0.125,45.0M,0.15
4383,Plantation,0.825,0.44,1.12,803.3M,1.22
7152,Consumer Products & Services,1.04,0.81,1.22,142.7M,1.23
0058,Industrial Products & Services,1.44,1.35,1.58,198.4M,2.42
5161,Technology,0.33,0.16,0.365,688.1M,0.4309
8931,Consumer Products & Services,0.355,0.31,0.42,29.1M,1.9
8923,Property,0.32,0.285,0.38,53.4M,0.31
6769,Property,0.075,0.07,0.09,170.6M,0.21
3441,Financial Services,0.07,0.065,0.115,43.6M,0.1064
7167,Consumer Products & Services,1.74,1.2,1.89,540.2M,1.09
5172,Consumer Products & Services,0.07,0.055,0.12,30.5M,0.0693
5192,Industrial Products & Services,0.385,0.3,0.595,37.0M,0.83
