name,category,Annual,nMerge,nSplit,NTA,current_price,52w low,52w high,market cap,code,nYear,price,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,EPS,EPS avg,EPS std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std
STAR MEDIA GROUP BERHAD,Telecommunications & Media,2018-12-31,0,0,1.11,0.42,0.41,0.83,310.2M,6084,10,0.685,1.04,7.07,2.38,11.99,5.03,-12.31,32.74,0.71,17.84,7.49,14.35,4.96,96.04,52.6,21.54,24.91,3.0,24.31,18.3,171.33,122.91,10.12,6.88
CLASSIC SCENIC BERHAD,Consumer Products & Services,2018-12-31,0,0,0.76,0.93,0.93,1.15,112.1M,7202,10,1.09,5.51,9.0,3.24,11.11,2.04,2.54,27.3,6.0,8.82,1.68,19.14,3.16,18.16,12.38,12.46,3.85,6.0,8.75,1.97,99.66,13.49,8.85,3.16
PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,Industrial Products & Services,2019-03-31,0,0,3.96,4.08,4.08,5.0,405.2M,5436,10,4.91,8.41,10.25,3.65,13.53,5.68,2.15,40.29,41.31,46.16,16.25,5.84,1.96,11.89,10.29,10.7,2.8,10.0,35.35,9.02,85.51,35.91,8.22,2.9
HEKTAR REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2018-12-31,0,0,1.3787,0.965,0.94,1.17,445.8M,5121,10,1.11,6.46,8.95,4.84,8.44,4.37,74.0,248.76,7.17,12.23,6.49,41.26,21.83,15.48,66.3,23.22,35.02,9.01,10.22,0.48,165.6,240.2,7.52,0.71
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2018-12-31,0,0,1.3402,0.71,0.71,0.865,407.0M,5127,10,0.82,17.29,11.65,5.23,9.04,3.38,34.7,110.83,14.17,10.36,4.08,92.0,41.49,5.79,14.04,10.64,5.27,6.1,6.67,0.66,77.6,38.48,7.45,0.7
SAPURA INDUSTRIAL BERHAD,Industrial Products & Services,2019-01-31,0,0,1.44,0.67,0.65,0.815,48.8M,7811,10,0.7,8.32,13.81,6.33,10.88,6.88,10.19,57.64,5.82,13.08,7.66,3.67,1.8,12.03,12.5,9.19,4.85,2.0,7.48,7.32,53.57,27.9,7.33,6.53
P.I.E. INDUSTRIAL BERHAD,Industrial Products & Services,2018-12-31,0,0,0.114,1.32,1.07,1.68,506.9M,7095,10,1.49,7.54,9.05,2.69,18.72,20.47,-5.07,31.16,11.23,34.91,19.71,8.45,1.66,13.26,12.32,11.97,3.23,6.0,26.7,11.84,103.53,96.35,7.29,5.22
QUILL CAPITA TRUST,Real Estate Investment Trusts,2019-12-31,0,0,1.2011,0.895,0.85,1.12,959.2M,5123,10,1.0,2.72,6.81,1.6,6.01,1.37,-1.98,5.39,6.73,8.43,0.66,50.02,14.8,36.8,24.36,16.3,7.1,6.8,8.16,0.47,96.95,3.18,7.19,0.38
AMFIRST REAL ESTATE INVESTMENT TRUST,Real Estate Investment Trusts,2019-03-31,0,0,1.2284,0.485,0.47,0.55,332.9M,5120,10,0.535,6.07,7.93,3.17,5.77,2.66,-0.44,50.35,3.25,7.69,3.76,41.6,18.39,16.47,21.94,15.65,8.46,4.0,6.59,2.24,105.75,53.95,7.11,1.1
JAYCORP BERHAD,Consumer Products & Services,2019-07-31,0,0,1.23,1.04,0.81,1.22,142.7M,7152,10,0.97,15.12,10.48,4.21,8.98,4.36,44.98,111.82,14.67,9.13,5.08,5.27,1.83,6.61,18.18,12.06,7.01,10.0,6.0,3.15,70.47,16.95,6.93,2.36
