code,nYear,ROI,ROI avg,ROI std,ROE avg,ROE std,EPS GR avg,EPS GR std,NPM avg,NPM std,P/E,P/E mid,P/E avg,P/E std,EPS,EPS avg,EPS std,DPS,DPS avg,DPS std,DPayout avg,DPayout std,DY avg,DY std,price,nMerge,nSplit,Annual,category,current_price,52w low,52w high,market cap,NTA,name
5622,9,269.46,73.03,105.39,32.08,56.49,323.39,843.16,14.98,13.3,0.37,196.38,48.23,121.74,199.4,41.62,58.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0,0,2018-12-31,Construction,0.785,0.78,0.9,54.3M,1.04,PIMPINAN EHSAN BERHAD
4952,10,76.01,14.39,20.8,9.01,12.29,87.58,266.91,47.6,21.72,1.32,59.4,23.02,32.24,5.81,7.3,3.34,5.75,5.76,1.43,132.21,143.5,5.96,1.4,0.765,0,0,2019-12-31,Real Estate Investment Trusts,0.79,0.735,0.83,173.8M,1.2824,AMANAH HARTA TANAH PNB
8591,10,47.61,21.44,14.4,7.6,4.08,38.61,72.9,7.86,6.19,2.1,9.62,7.08,4.51,41.4,17.84,11.0,4.5,4.1,0.57,31.22,15.92,5.14,2.13,0.87,0,0,2018-12-31,Construction,0.96,0.89,1.21,169.8M,2.95,CREST BUILDER HOLDINGS BERHAD
1538,10,34.82,18.72,9.99,7.62,4.12,42.06,108.34,16.56,9.11,2.87,13.7,8.1,6.47,20.75,14.83,7.95,0.0,0.51,1.02,7.5,15.11,0.66,1.42,0.42,0,0,2019-03-31,Property,0.38,0.36,0.45,228.2M,1.62,SYMPHONY LIFE BERHAD
4057,10,28.33,35.38,44.64,9.64,13.03,122.27,277.36,37.4,43.74,3.53,10.99,6.22,5.49,5.09,6.67,10.72,0.0,0.03,0.09,0.08,0.24,0.13,0.39,0.125,0,0,2019-03-31,Property,0.125,0.11,0.17,129.6M,1.023,ASIAN PAC HOLDINGS BERHAD
7249,10,26.35,9.25,6.53,8.78,4.68,41.25,124.05,11.97,7.06,3.8,32.2,17.8,15.36,13.96,5.86,3.55,0.0,0.25,0.75,2.88,8.64,0.31,0.94,0.53,0,0,2018-12-31,Property,0.485,0.465,0.74,146.3M,0.87,EWEIN BERHAD
3743,9,21.29,7.19,6.38,6.7,4.2,10.03,36.66,15.38,9.19,4.7,32.9,20.74,19.52,14.16,5.86,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665,0,0,2019-09-30,Property,0.57,0.545,0.92,510.7M,1.09,SUNSURIA BERHAD
8605,9,20.64,13.34,7.79,8.84,4.38,78.19,135.32,4.08,2.12,4.84,6.78,7.17,4.05,7.74,4.5,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0,0,2019-06-30,Consumer Products & Services,0.29,0.26,0.53,31.6M,0.9528,FEDERAL INTERNATIONAL HOLDINGS BERHAD
5099,10,19.95,12.8,6.9,18.44,9.32,70.2,176.36,14.43,7.11,5.01,47.3,17.17,24.95,59.2,30.96,18.45,12.0,3.5,6.09,10.87,19.68,1.19,2.17,2.97,0,0,2018-12-31,Consumer Products & Services,1.31,1.12,3.29,"4,378.0M",1.38,AIRASIA GROUP BERHAD
5053,10,19.15,19.16,17.98,11.33,9.83,156.46,503.3,96.24,120.52,5.22,16.23,9.77,8.04,16.66,27.96,25.96,5.0,7.85,4.75,32.77,15.94,5.26,2.92,0.87,0,0,2018-12-31,Property,0.98,0.835,1.05,"2,053.4M",2.37,OSK HOLDINGS BERHAD
7029,10,18.32,13.88,5.42,6.07,2.28,23.4,89.76,4.6,1.83,5.46,11.15,8.63,3.98,10.54,7.04,2.52,1.5,0.8,0.71,10.68,9.66,1.48,1.33,0.575,0,0,2018-12-31,Industrial Products & Services,2.67,0.61,2.91,145.8M,1.88,MASTER-PACK GROUP BERHAD
5127,10,17.29,11.65,5.23,9.04,3.38,34.7,110.83,92.0,41.49,5.79,14.04,10.64,5.27,14.17,10.36,4.08,6.1,6.67,0.66,77.6,38.48,7.45,0.7,0.82,0,0,2018-12-31,Real Estate Investment Trusts,0.71,0.71,0.865,407.0M,1.3402,AMANAHRAYA REAL ESTATE INVESTMENT TRUST
3379,10,16.35,18.18,6.33,7.28,3.46,57.93,137.5,31.05,15.94,6.12,12.8,7.0,5.18,12.35,13.67,7.04,2.0,0.83,0.62,6.14,5.46,1.09,0.93,0.755,0,0,2019-06-30,Financial Services,0.85,0.695,0.92,589.3M,2.65,INSAS BERHAD
7034,10,15.13,14.88,4.63,9.64,2.26,15.83,43.08,4.77,1.33,6.61,8.3,7.47,2.51,33.29,28.5,10.65,8.0,7.4,2.11,27.13,5.45,3.96,1.15,2.2,0,0,2018-12-31,Industrial Products & Services,3.93,2.27,3.97,727.8M,3.11,THONG GUAN INDUSTRIES BERHAD
7152,10,15.12,10.48,4.21,8.98,4.36,44.98,111.82,5.27,1.83,6.61,18.18,12.06,7.01,14.67,9.13,5.08,10.0,6.0,3.15,70.47,16.95,6.93,2.36,0.97,0,0,2019-07-31,Consumer Products & Services,1.04,0.81,1.22,142.7M,1.23,JAYCORP BERHAD
5065,10,14.24,14.01,2.23,6.16,1.57,12.82,35.94,3.14,0.67,7.02,8.31,7.36,1.4,12.67,10.71,4.14,2.5,1.05,1.29,8.65,11.37,1.03,1.3,0.89,0,0,2018-12-31,Industrial Products & Services,1.04,0.89,1.19,78.3M,2.29,ORNAPAPER BERHAD
5401,10,13.16,17.44,7.54,8.26,3.55,6.69,50.68,18.32,6.49,7.6,7.93,6.9,2.93,11.65,18.51,8.76,1.6,3.9,1.73,24.1,13.43,3.72,1.69,0.89,0,0,2018-12-31,Property,0.9,0.805,0.94,"1,323.4M",2.42,TROPICANA CORPORATION BERHAD
4006,10,13.09,8.01,3.13,6.35,2.15,9.96,29.85,8.65,2.28,7.64,18.02,14.95,6.9,80.74,47.43,14.3,40.0,14.3,9.99,28.05,11.33,2.18,1.63,6.17,0,0,2018-12-31,Consumer Products & Services,6.38,6.01,6.88,"3,958.1M",10.6738,ORIENTAL HOLDINGS BERHAD
5152,10,12.9,14.28,8.47,13.94,8.98,9.24,51.63,14.58,8.38,7.75,10.31,9.32,4.56,13.03,11.55,5.19,3.0,4.15,2.41,42.93,29.4,4.83,2.48,1.01,0,0,2018-12-31,Industrial Products & Services,1.31,1.01,1.49,140.7M,1.33,MUAR BAN LEE GROUP BERHAD
7169,10,12.56,13.45,3.74,9.73,1.7,10.67,39.41,3.98,0.73,7.96,10.26,8.15,2.82,15.82,13.36,3.13,7.0,5.2,1.25,40.09,8.68,5.36,1.98,1.26,0,0,2019-03-31,Industrial Products & Services,1.24,1.2,1.3,204.9M,1.69,DOMINANT ENTERPRISE BERHAD
9873,10,12.39,13.41,4.47,6.26,3.68,23.62,51.22,3.12,1.52,8.07,14.16,9.05,5.3,6.42,7.77,5.68,1.5,1.86,1.15,27.57,12.96,3.28,1.0,0.52,0,0,2018-12-31,Industrial Products & Services,0.41,0.375,0.785,84.0M,1.44,PRESTAR RESOURCES BERHAD
5908,10,12.3,13.33,5.58,15.94,9.52,21.19,53.51,1.23,0.81,8.13,10.84,9.26,4.37,28.3,37.4,26.3,10.0,9.04,5.3,27.6,13.93,3.07,0.87,2.3,0,0,2018-12-31,Consumer Products & Services,2.56,2.27,2.87,403.6M,3.8246,DKSH HOLDINGS (MALAYSIA) BERHAD
6114,10,11.95,11.37,2.48,9.22,4.54,11.32,47.29,11.94,3.07,8.37,10.4,9.26,2.27,14.1,21.23,8.47,3.5,5.55,2.57,29.22,13.28,2.99,1.26,1.18,0,0,2019-09-30,Property,1.66,1.11,1.86,973.7M,2.79,MKH BERHAD
5147,10,11.72,10.68,4.15,12.57,5.51,16.06,89.07,2.47,1.05,8.53,17.34,11.47,6.47,7.85,8.4,3.12,3.0,1.89,2.12,18.69,20.01,2.03,2.07,0.67,0,0,2018-12-31,Industrial Products & Services,0.665,0.55,0.765,180.9M,0.57,SAMCHEM HOLDINGS BERHAD
