code,category,detail,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
5250,Consumer,Year End,31/12/19,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,,,
5250,Consumer,NP,"54,058","51,307","50,107","52,178","55,801","63,074","44,101",,,
5250,Consumer,Div,-,-,-,"53,349","57,640","59,131",-,,,
5250,Consumer,Div Payout,- %,- %,- %,102.25 %,103.30 %,93.75 %,- %,,,
5250,Consumer,NOSH,"1,150,191","1,128,891","1,110,385","1,135,102","1,226,395","1,159,448","1,052,529",,,
5250,Consumer,NP Margin,2.29 %,2.32 %,2.29 %,2.48 %,2.78 %,3.33 %,2.64 %,,,
5250,Consumer,ROE,52.63 %,55.29 %,67.65 %,144.55 %,31.89 %,28.41 %,0.00 %,,,
5250,Consumer,EPS,4.74,4.57,4.51,4.50,4.55,5.44,4.19,,,
5250,Consumer,EPS GR,  3.72%  ,  1.33%  ,  0.22%  ,  -1.10%  ,  -16.36%  ,  29.83%  ,  -  ,,,
5250,Consumer,DPS,0.00,0.00,0.00,4.70,4.70,5.10,0.00,,,
5250,Consumer,Price,1.4300,1.5000,1.5400,1.4200,1.5400,1.5000,0.0000,,,
5250,Consumer,P/E,30.43,33.00,34.13,30.89,33.85,27.57,0.00,,,
5250,Consumer,DY,0.00,0.00,0.00,3.31,3.05,3.40,0.00,,,
7214,Industrial Products,Year End,31/07/19,31/07/18,31/07/17,31/07/16,31/07/15,31/07/14,31/07/13,31/07/12,31/07/11,31/07/10
7214,Industrial Products,NP,"11,139","13,942","16,197","15,838","10,316","9,498","7,389","7,206","7,082","6,222"
7214,Industrial Products,Div,"4,229","3,900","3,900","3,600","2,700","2,698","2,700",23,24,15
7214,Industrial Products,Div Payout,37.97 %,27.97 %,24.08 %,22.73 %,26.17 %,28.41 %,36.54 %,0.33 %,0.34 %,0.26 %
7214,Industrial Products,NOSH,"169,162","120,000","120,000","120,000","120,000","120,000","120,000","80,000","80,022","79,974"
7214,Industrial Products,NP Margin,2.31 %,2.80 %,3.44 %,3.18 %,2.17 %,2.01 %,1.71 %,1.80 %,1.68 %,1.71 %
7214,Industrial Products,ROE,8.34 %,11.17 %,14.21 %,15.53 %,11.62 %,11.82 %,9.93 %,10.98 %,11.64 %,11.11 %
7214,Industrial Products,EPS,6.58,11.62,13.50,13.20,8.60,7.92,6.16,9.01,8.85,7.78
7214,Industrial Products,EPS GR,  -43.37%  ,  -13.93%  ,  2.27%  ,  53.49%  ,  8.59%  ,  28.57%  ,  -31.63%  ,  1.81%  ,  13.75%  ,  -  
7214,Industrial Products,DPS,2.50,3.25,3.25,3.00,2.25,2.25,2.25,0.03,0.03,0.02
7214,Industrial Products,Price,0.5100,0.7300,1.1000,0.8250,0.4900,0.6500,0.4200,0.4500,0.4100,0.5100
7214,Industrial Products,P/E,7.75,6.28,8.15,6.25,5.70,8.21,6.82,5.00,4.63,6.56
7214,Industrial Products,DY,4.90,4.45,2.95,3.64,4.59,3.46,5.36,0.07,0.07,0.04
7086,Industrial Products,Year End,31/12/19,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10
7086,Industrial Products,NP,-681,-988,3,-869,"-1,425",245,"-1,039","-8,456","-50,341","-56,798"
7086,Industrial Products,Div,-,-,-,-,-,-,-,-,-,-
7086,Industrial Products,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
7086,Industrial Products,NOSH,"263,899","263,899","263,899","259,999","263,888","272,222","259,499","255,468","154,812","154,781"
7086,Industrial Products,NP Margin,-12.37 %,-24.97 %,0.03 %,-8.78 %,-5.14 %,1.31 %,-20.21 %,-148.38 %,-220.20 %,-102.13 %
7086,Industrial Products,ROE,-1.52 %,-2.20 %,0.01 %,-1.97 %,-3.00 %,0.50 %,-2.22 %,-17.42 %,-116.13 %,-69.24 %
7086,Industrial Products,EPS,-0.26,-0.37,0.00,-0.33,-0.54,0.09,-0.39,-3.31,-30.94,-36.69
7086,Industrial Products,EPS GR,  29.73%  ,  0.00%  ,  0.00%  ,  38.89%  ,  -700.00%  ,  123.08%  ,  88.22%  ,  89.30%  ,  15.67%  ,  -  
7086,Industrial Products,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7086,Industrial Products,Price,0.0700,0.0750,0.1300,0.0900,0.1200,0.1200,0.1300,0.1200,0.1500,0.1900
7086,Industrial Products,P/E,-27.13,-20.03,"11,435.66",-26.93,-22.22,133.33,-32.47,-3.63,-0.46,-0.52
7086,Industrial Products,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5198,Industrial Products,Year End,31/12/19,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,,
5198,Industrial Products,NP,"1,854","4,308","6,284","3,547","2,890","4,874","6,947","6,708",,
5198,Industrial Products,Div,-,-,-,-,-,-,-,-,,
5198,Industrial Products,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,,
5198,Industrial Products,NOSH,"180,000","180,000","180,000","180,000","180,000","180,000","180,000","157,096",,
5198,Industrial Products,NP Margin,1.67 %,3.85 %,6.26 %,3.54 %,2.59 %,4.37 %,5.55 %,5.00 %,,
5198,Industrial Products,ROE,1.16 %,2.72 %,4.11 %,2.40 %,2.01 %,3.47 %,4.76 %,5.85 %,,
5198,Industrial Products,EPS,1.03,2.39,3.49,1.97,1.61,2.71,4.15,4.27,,
5198,Industrial Products,EPS GR,  -56.90%  ,  -31.52%  ,  77.16%  ,  22.36%  ,  -40.59%  ,  -34.70%  ,  -2.81%  ,  -  ,,
5198,Industrial Products,DPS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
5198,Industrial Products,Price,0.5000,0.5000,0.4800,0.4450,0.4000,0.5200,0.5700,0.0000,,
5198,Industrial Products,P/E,48.54,20.89,13.75,22.58,24.91,19.20,14.77,0.00,,
5198,Industrial Products,DY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
7131,Property,Year End,31/03/19,31/03/18,31/03/17,31/03/16,31/03/15,31/03/14,31/03/13,31/01/12,31/01/11,31/01/10
7131,Property,NP,"9,483","3,091","-1,051","3,130","7,937",-498,821,"-6,192",35,"4,248"
7131,Property,Div,-,-,-,-,-,-,-,-,-,-
7131,Property,Div Payout,- %,- %,- %,- %,- %,- %,- %,- %,- %,- %
7131,Property,NOSH,"229,974","209,815","209,704","209,109","209,973","207,500","210,232","209,765","175,000","218,341"
7131,Property,NP Margin,35.48 %,11.14 %,-2.42 %,3.89 %,11.67 %,-1.92 %,2.62 %,-13.47 %,0.06 %,6.62 %
7131,Property,ROE,0.12 %,4.86 %,-1.74 %,5.09 %,13.55 %,-0.99 %,1.59 %,-12.24 %,0.07 %,6.02 %
7131,Property,EPS,4.12,1.47,-0.50,1.49,3.78,-0.24,0.39,-2.95,0.02,1.94
