code,detail,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
5250,Price,1.4300,1.5000,1.5400,1.4200,1.5400,1.5000,0.0000,,,
7214,Price,0.5100,0.7300,1.1000,0.8250,0.4900,0.6500,0.4200,0.4500,0.4100,0.5100
7086,Price,0.0700,0.0750,0.1300,0.0900,0.1200,0.1200,0.1300,0.1200,0.1500,0.1900
5198,Price,0.5000,0.5000,0.4800,0.4450,0.4000,0.5200,0.5700,0.0000,,
7131,Price,0.2500,0.3250,0.2500,0.3000,0.2500,0.7850,0.2400,0.3000,1.0400,1.2800
7120,Price,0.3400,0.4100,0.4750,0.6550,0.6750,0.5800,0.5650,0.6200,0.6000,0.7500
1481,Price,0.1300,0.1100,0.1450,0.1100,0.1250,0.1450,0.1400,0.1500,0.1900,0.1900
5281,Price,0.3850,0.3000,0.8550,0.0000, - ,,,,,
9148,Price,2.2800,1.9400,2.0200,2.2400,2.2800,2.1400,1.9400,1.4100,1.3000,1.4000
7191,Price,0.6000,0.4350,0.6000,0.6550,0.7800,0.9700,0.9600,1.0000,1.9000,1.7200
7146,Price,0.1100,0.1100,0.1500,0.1450,0.1300,0.1400,0.2050,0.2200,0.3200,0.3100
6599,Price,1.4200,1.4700,1.7600,2.5700,2.7300,3.1500,14.0000,14.1200,7.2400,6.0900
5139,Price,16.5400,13.3000,15.7000,11.9200,11.7200,13.3000,12.9800,14.7000,11.3400,6.3300
5185,Price,1.9000,2.2300,2.3100,2.3900,2.3400,2.9000,4.1500,3.4400,3.0800,3.0900
7145,Price,0.1400,0.1300,0.1700,0.1000,0.1400,0.1400,0.2950,0.2000,0.2300,0.2500
7315,Price,0.1200,0.1750,0.1950,0.1900,0.2000,0.2100,0.2250,0.1400,0.1500,0.1400
7078,Price,0.3050,0.9550,0.6350,0.6350,0.6750,0.9150,0.6800,0.6700,1.1000,0.8900
5099,Price,1.7000,2.9700,3.3500,2.2900,1.2900,2.7200,2.2000,2.7400,3.7700,2.5300
5238,Price,0.1550,0.2350,0.3300,0.3600,0.1800,0.6450,0.9950,0.0000,,
2658,Price,18.0000,22.3000,15.9000,8.9800,6.3000,5.1000,4.4200,4.0900,3.9900,4.0800
7609,Price,0.4150,0.5700,0.6100,0.5950,4.2200,2.3300,2.2000,1.6800,1.6500,2.0200
5116,Price,1.3200,1.3100,1.4300,1.5700,1.4000,1.3800,1.3300,1.2900,1.1500,1.1200
5269,Price,0.8100,0.8050,1.0000,1.0700,0.9300,0.0000,,,,
5115,Price,0.1300,0.0800,0.1800,0.2650,0.4250,0.6300,1.5700,0.6800,0.7600,0.9900
2674,Price,0.4400,0.4400,0.8600,1.0900,0.9050,0.8050,0.7500,0.6500,0.6700,0.8500
2488,Price,4.0900,4.3700,4.0800,4.1500,4.7900,4.4100,4.4000,3.8900,3.1700,2.8800
1163,Price,16.2800,13.0000,13.5000,10.2000,10.5000,11.4200,12.1000,7.0500,4.7500,4.4900
