code,category,price,NTA,52w low,52w high,market cap,ROE,P/E,EPS,EY,DPS,DY
5250,Consumer Products & Services,1.36,0.0893,1.21,1.56,"1,677.4M",49.05,31.0,4.38,3.22,2.4,1.76
7214,Industrial Products & Services,0.365,0.8,0.27,0.565,62.1M,8.26,6.0,6.61,18.11,2.5,6.85
7086,Industrial Products & Services,0.06,0.17,0.04,0.095,15.8M,-1.53,-23.0,-0.26,-4.33,0.0,0.0
5198,Industrial Products & Services,0.285,0.89,0.28,0.71,51.3M,1.16,28.0,1.03,3.61,0.0,0.0
7131,Property,0.2,0.34,0.165,0.335,49.8M,8.24,7.0,2.8,14.0,0.0,0.0
7120,Consumer Products & Services,0.315,0.52,0.22,0.435,61.3M,-1.58,-39.0,-0.82,-2.6,0.0,0.0
1481,Consumer Products & Services,0.115,0.518,0.07,0.24,106.9M,15.58,1.0,8.07,70.17,0.25,2.17
5281,Construction,0.27,0.48,0.21,0.485,109.1M,5.58,10.0,2.68,9.93,0.6,2.22
9148,Industrial Products & Services,1.91,1.53,1.68,2.4,39.2M,-0.46,-274.0,-0.7,-0.37,6.0,3.14
7191,Health Care,0.49,0.23,0.28,0.97,74.9M,63.0,3.0,14.49,29.57,7.0,14.29
7146,Industrial Products & Services,0.055,0.2,0.04,0.13,18.1M,-1.3,-21.0,-0.26,-4.73,0.0,0.0
6599,Consumer Products & Services,1.07,1.21,0.91,1.83,"1,502.3M",6.43,14.0,7.78,7.27,4.0,3.74
5139,Financial Services,8.69,6.04,7.7,17.1,"2,204.0M",19.01,8.0,114.84,13.22,44.6,5.13
5185,Financial Services,1.43,4.7,1.25,2.24,"2,840.0M",5.23,6.0,24.56,17.17,0.0,0.0
7145,Construction,0.075,0.51,0.05,0.17,37.7M,5.31,3.0,2.71,36.13,0.0,0.0
7315,Consumer Products & Services,0.07,0.16699999999999998,0.04,0.185,12.3M,-16.11,-3.0,-2.69,-38.43,0.0,0.0
7078,Construction,0.185,0.7139,0.115,0.575,110.6M,-7.19,-4.0,-5.13,-27.73,0.0,0.0
5099,Consumer Products & Services,0.81,1.33,0.5,2.15,"2,707.0M",-7.24,-8.0,-9.63,-11.89,0.0,0.0
5238,Consumer Products & Services,0.065,0.05,0.04,0.25,269.6M,-236.0,-1.0,-11.8,-181.54,0.0,0.0
2658,Consumer Products & Services,12.88,7.91,9.96,18.0,783.1M,11.61,14.0,91.83,7.13,47.0,3.65
7609,Industrial Products & Services,0.31,1.18,0.2,0.575,94.4M,1.55,17.0,1.83,5.9,0.0,0.0
5116,Real Estate Investment Trusts,1.4,1.3024,1.19,1.65,"1,030.4M",7.95,14.0,10.35,7.39,7.75,5.54
5269,Real Estate Investment Trusts,0.76,1.0759999999999998,0.595,0.94,440.8M,5.79,12.0,6.23,8.2,5.35,7.04
5115,Energy,0.08,0.37,0.03,0.2,90.5M,-17.16,-1.0,-6.35,-79.38,0.0,0.0
2674,Industrial Products & Services,0.455,0.91,0.18,0.575,61.1M,-0.14,-347.0,-0.13,-0.29,0.0,0.0
2488,Financial Services,1.88,3.82,1.48,4.15,"2,910.4M",7.41,7.0,28.29,15.05,16.7,8.88
1163,Financial Services,12.56,20.77,11.4,16.87,"2,221.7M",13.4,5.0,278.41,22.17,65.0,5.18
2682,Industrial Products & Services,0.225,0.9812,0.16,0.33,32.5M,-1.94,-12.0,-1.9,-8.44,0.0,0.0
4952,Real Estate Investment Trusts,0.71,1.2824,0.58,0.83,156.2M,4.53,12.0,5.81,8.18,5.75,8.1
5127,Real Estate Investment Trusts,0.63,1.3378,0.5,0.865,361.1M,4.63,10.0,6.19,9.83,6.2,9.84
1007,Property,0.3,1.45,0.26,0.58,219.9M,2.01,10.0,2.92,9.73,3.0,10.0
5293,Construction,1.3,1.45,1.01,2.05,555.3M,10.54,9.0,15.28,11.75,0.0,0.0
5120,Real Estate Investment Trusts,0.415,1.219,0.32,0.55,284.9M,2.49,14.0,3.04,7.33,4.0,9.64
1015,Financial Services,2.95,6.08,2.82,4.58,"8,891.8M",8.47,6.0,51.52,17.46,20.0,6.78
7031,Telecommunications & Media,0.47,0.9262,0.47,0.68,25.5M,9.97,5.0,9.23,19.64,0.0,0.0
5959,Property,1.2,1.97,0.99,1.25,438.1M,0.71,86.0,1.39,1.16,0.0,0.0
6351,Consumer Products & Services,4.85,1.35,4.5,6.16,797.3M,23.05,16.0,31.12,6.42,27.5,5.67
7083,Industrial Products & Services,0.84,2.48,0.815,1.16,100.8M,1.75,19.0,4.34,5.17,2.0,2.38
4758,Industrial Products & Services,0.58,1.38,0.38,0.77,139.7M,2.53,17.0,3.49,6.02,0.0,0.0
