code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
5250,Consumer Products & Services,1.3,1.21,1.56,0.0893,30.0,4.38,3.37,2.3,1.77,49.05
7214,Industrial Products & Services,0.425,0.27,0.565,0.8,6.0,6.61,15.55,2.5,5.88,8.26
7086,Industrial Products & Services,0.08,0.04,0.095,0.17,-31.0,-0.26,-3.25,0.0,0.0,-1.53
5198,Industrial Products & Services,0.345,0.255,0.71,0.89,33.0,1.03,2.99,0.0,0.0,1.16
7131,Property,0.205,0.165,0.335,0.34,7.0,2.8,13.66,0.0,0.0,8.24
7120,Consumer Products & Services,0.385,0.22,0.415,0.52,-47.0,-0.82,-2.13,0.0,0.0,-1.58
1481,Consumer Products & Services,0.125,0.07,0.24,0.518,2.0,8.07,64.56,0.25,2.0,15.58
5281,Construction,0.37,0.21,0.455,0.48,14.0,2.68,7.24,0.6,1.62,5.58
9148,Industrial Products & Services,1.9,1.68,2.4,1.53,-272.0,-0.7,-0.37,6.0,3.16,-0.46
7191,Health Care,1.06,0.28,1.43,0.23,7.0,14.49,13.67,7.0,6.6,63.0
7146,Industrial Products & Services,0.1,0.04,0.13,0.2,-39.0,-0.26,-2.6,0.0,0.0,-1.3
6599,Consumer Products & Services,1.12,0.91,1.83,1.21,14.0,7.78,6.95,4.0,3.57,6.43
5139,Financial Services,9.03,7.7,17.0,6.14,8.0,115.15,12.75,36.25,4.01,18.75
5185,Financial Services,1.54,1.25,2.18,4.7,6.0,24.56,15.95,0.0,0.0,5.23
7145,Construction,0.17,0.05,0.2,0.51,8.0,2.08,12.24,0.0,0.0,4.08
7315,Consumer Products & Services,0.085,0.04,0.165,0.167,-3.0,-2.69,-31.65,0.0,0.0,-16.11
7078,Construction,0.21,0.115,0.465,0.7139,-4.0,-5.13,-24.43,0.0,0.0,-7.19
5099,Consumer Products & Services,0.74,0.5,2.15,1.33,-8.0,-9.63,-13.01,0.0,0.0,-7.24
5238,Consumer Products & Services,0.105,0.04,0.25,0.05,-1.0,-11.8,-112.38,0.0,0.0,-236.0
