code,name,Price,52w low,52w high,EPS GR min,P/E mid,DPayout avg,intrinsic,Price_A,Price_B
8567,SALCON BERHAD,0.175,0.1,0.28,0.0,27.08,16.52,1.05,0.79,0.16
8524,TALIWORKS CORPORATION BERHAD,0.855,0.635,0.98,4.44,37.48,81.43,6.82,5.12,0.75
7471,EDEN INC. BERHAD,0.185,0.09,0.375,0.0,-1.0,0.0,0.9,0.68,0.18
6742,YTL POWER INTERNATIONAL BHD,0.665,0.48,0.85,0.0,12.38,57.38,5.19,3.89,0.6
6033,PETRONAS GAS BERHAD,15.28,13.36,18.387999999999998,0.99,21.76,59.48,118.3,88.72,15.02
5347,TENAGA NASIONAL BHD,12.2,10.365,13.704,16.16,42.45,11.1,44.21,33.16,11.47
5272,RANHILL HOLDINGS BERHAD,0.995,0.82,1.44,0.44,15.0,25.66,6.17,4.63,1.02
5264,MALAKOFF CORPORATION BERHAD,0.815,0.645,0.93,0.72,9.78,43.63,5.74,4.3,0.74
5209,GAS MALAYSIA BERHAD,2.81,2.3,2.96,2.9,15.0,68.04,21.69,16.27,2.52
5041,PBA HOLDINGS BHD,0.885,0.725,1.19,0.0,9.32,33.46,5.87,4.4,0.88
4677,YTL CORPORATION BERHAD,0.735,0.6,1.17,0.0,33.4,69.97,6.29,4.72,0.79
3069,MEGA FIRST CORPORATION BERHAD,5.32,3.1,5.6,1.01,10.01,20.79,31.17,23.38,3.92
9806,NATIONWIDE EXPRESS HOLDINGS BERHAD,0.1,0.04,0.28,0.0,14.5,76.42,0.88,0.66,0.12
8397,TIONG NAM LOGISTICS HOLDINGS BERHAD,0.4,0.26,0.6,0.0,32.78,18.83,2.38,1.78,0.37
8346,PERAK CORPORATION BERHAD,0.175,0.09,0.47,0.0,2.75,5.94,0.95,0.71,0.22
8133,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,0.63,0.56,1.36,0.0,106.79,5.09,3.31,2.48,0.82
7676,GUNUNG CAPITAL BERHAD,0.555,0.255,0.655,0.0,-16.85,3.66,2.9,2.17,0.39
7218,TRANSOCEAN HOLDINGS BHD,0.5,0.43,0.59,0.0,-3.75,0.0,2.5,1.88,0.48
