code,detail,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
5250,Year End,2018-12,2017-12,2016-12,2015-12,2014-12,2013-12,2012-12,2011-12,2010-12,2009-12
5250,Revenue,"2,217","2,187","2,103","2,006","1,893","1,672","1,579","1,462","1,314",—
5250,NP,51,50,52,56,63,44,40,30,27,—
5250,EPS,0.04,0.04,0.04,0.04,0.05,0.02,0.03,0.02,0.02,—
5250,DPS,0.03,0.02,0.02,0.02,—,—,—,—,—,—
5250,Div Payout,55.4,58.4,48.0,55.1,—,—,—,—,—,—
5250,Shares,"1,143","1,150","1,200","1,269","1,278","1,841","1,278","1,278","1,278",—
5250,BVPS,0.07,0.05,0.07,0.15,0.17,—,—,—,—,—
5250,OCF,—,—,—,—,—,—,—,—,—,—
5250,NP Margin,2.31,2.29,2.48,2.78,3.33,2.64,2.56,2.06,2.08,—
5250,ROE,61.69,91.75,50.81,27.46,31.49,29.01,33.97,33.55,33.68,—
5250,Revenue GR,1.37,3.98,4.84,5.98,13.19,5.91,7.98,11.32,—,—
5250,Revenue GR 3Y avg,3.39,4.93,7.94,8.31,8.99,8.38,—,—,—,—
5250,Revenue GR 5Y avg,5.80,6.73,7.54,8.84,—,—,—,—,—,—
5250,Revenue GR 10Y avg,—,—,—,—,—,—,—,—,—,—
5250,EPS GR,3.02,0.22,-1.10,-11.03,43.02,8.94,34.29,10.47,—,—
5250,EPS GR 3Y avg,0.70,-4.10,7.97,11.50,27.90,17.35,—,—,—,—
5250,EPS GR 5Y avg,5.38,6.56,12.98,15.51,—,—,—,—,—,—
5250,EPS GR 10Y avg,—,—,—,—,—,—,—,—,—,—
5250,OCF GR,68.05,-32.94,-42.34,28.63,-47.23,180.27,-37.87,68.91,—,—
5250,D/E,0.48,0.57,0.72,—,0.01,0.04,0.07,0.17,0.24,—
5250,Price,1.4300,1.5000,1.5400,1.4200,1.5400,1.5000,0.0000,0.0,0.0,0.0
7214,Year End,2019-07,2018-07,2017-07,2016-07,2015-07,2014-07,2013-07,2012-07,2011-07,2010-07
7214,Revenue,482,498,455,484,486,487,431,400,421,364
7214,NP,11,14,16,16,10,9,7,7,7,6
7214,EPS,0.07,0.08,0.10,0.09,0.06,0.06,0.04,0.04,0.04,0.04
7214,DPS,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01
7214,Div Payout,32.3,29.1,20.3,18.7,28.9,31.8,32.4,33.3,25.7,—
7214,Shares,171,168,168,168,168,168,168,168,168,168
7214,BVPS,0.77,0.71,0.66,0.57,0.50,0.46,0.43,0.39,0.33,0.30
7214,OCF,47,21,-10,37,26,12,8,13,17,-2
7214,NP Margin,2.31,2.80,3.56,3.27,2.12,1.95,1.71,1.80,1.68,1.71
7214,ROE,8.62,11.68,14.99,16.64,12.16,12.24,10.57,11.40,12.15,11.64
7214,Revenue GR,-3.25,9.43,-5.87,-0.43,-0.28,12.93,7.76,-4.89,15.51,6.88
7214,Revenue GR 3Y avg,-0.11,0.85,-2.23,3.89,6.66,4.99,5.79,5.50,-4.17,9.36
7214,Revenue GR 5Y avg,-0.21,2.93,2.61,2.82,5.92,7.40,-2.04,7.52,11.98,—
7214,Revenue GR 10Y avg,3.53,0.41,5.04,7.30,—,—,—,—,—,—
7214,EPS GR,-21.33,-13.93,2.27,53.49,8.72,28.41,2.67,1.69,13.75,—
7214,EPS GR 3Y avg,-11.52,10.55,19.50,28.92,12.75,10.27,5.90,—,-7.41,-5.74
7214,EPS GR 5Y avg,2.94,13.53,17.61,17.47,10.64,—,-3.69,-0.63,0.69,—
7214,EPS GR 10Y avg,—,4.57,8.10,8.76,—,—,—,—,—,—
7214,OCF GR,122.09,—,—,45.93,107.37,63.03,-41.92,-24.04,—,—
7214,D/E,—,—,—,0.01,0.02,0.02,0.03,—,—,—
7214,Price,0.5100,0.7300,1.1000,0.8250,0.4900,0.6500,0.4200,0.4500,0.4100,0.5100
7086,Year End,2018-12,2017-12,2016-12,2015-12,2014-12,2013-12,2012-12,2011-12,2010-12,2009-12
7086,Revenue,4,9,10,28,19,5,6,11,26,42
7086,NP,-1,—,-1,-1,—,-1,-8,-50,-57,-18
7086,EPS,—,—,—,-0.01,—,—,-0.03,-0.33,-0.37,-0.12
7086,DPS,—,—,—,—,—,—,—,—,—,—
7086,Div Payout,—,—,—,—,—,—,—,—,—,—
7086,Shares,263,263,263,263,263,263,263,155,155,155
7086,BVPS,0.17,0.17,0.17,0.18,0.18,0.18,0.19,0.53,0.53,—
7086,OCF,-1,1,3,-1,-8,-4,-7,7,1,-8
7086,NP Margin,-24.94,0.03,-8.78,-5.14,1.31,-20.21,-148.39,-465.99,-222.63,-42.10
7086,ROE,-2.18,0.01,-1.88,-3.01,0.51,-2.13,-18.03,-79.82,-49.42,-11.41
7086,Revenue GR,-56.34,-8.40,-64.32,47.88,264.70,-9.79,-47.25,-57.66,-39.93,—
7086,Revenue GR 3Y avg,-47.74,-21.52,24.39,69.45,20.17,-41.37,-48.80,-47.59,-25.28,—
7086,Revenue GR 5Y avg,-5.10,9.72,-1.74,1.68,-15.09,-41.50,-37.79,—,—,—
7086,Revenue GR 10Y avg,-25.49,-17.38,—,—,—,—,—,—,—,—
7086,EPS GR,—,—,—,—,—,—,—,—,—,—
7086,EPS GR 3Y avg,—,-76.71,—,—,—,—,—,—,—,—
7086,EPS GR 5Y avg,—,—,—,—,—,—,—,—,—,—
7086,EPS GR 10Y avg,—,-59.48,—,—,—,—,—,—,—,—
7086,OCF GR,—,-57.31,—,—,—,—,—,410.65,—,—
7086,D/E,—,—,—,—,—,—,—,0.04,0.02,—
7086,Price,0.0700,0.0750,0.1300,0.0900,0.1200,0.1200,0.1300,0.1200,0.1500,0.1900
5198,Year End,2018-12,2017-12,2016-12,2015-12,2014-12,2013-12,2012-12,2011-12,2010-12,2009-12
5198,Revenue,112,100,100,112,111,125,134,—,—,—
5198,NP,4,6,4,3,5,7,7,—,—,—
5198,EPS,0.02,0.04,0.02,0.02,0.03,0.04,0.04,—,—,—
5198,DPS,—,—,—,—,—,—,—,—,—,—
5198,Div Payout,—,—,—,—,—,—,—,—,—,—
5198,Shares,180,180,180,180,180,167,157,—,—,—
5198,BVPS,0.86,0.83,0.80,0.78,0.77,0.73,—,—,—,—
5198,OCF,-5,5,11,1,10,13,11,—,—,—
5198,NP Margin,3.74,6.36,3.54,2.61,4.47,5.55,5.00,—,—,—
5198,ROE,2.69,4.23,2.44,2.05,3.60,5.53,5.81,—,—,—
5198,Revenue GR,11.90,-0.20,-10.07,0.12,-11.07,-6.69,—,—,—,—
5198,Revenue GR 3Y avg,0.14,-3.50,-7.14,-5.99,—,—,—,—,—,—
5198,Revenue GR 5Y avg,-2.21,-5.70,—,—,—,—,—,—,—,—
5198,Revenue GR 10Y avg,—,—,—,—,—,—,—,—,—,—
5198,EPS GR,-34.18,79.70,21.60,-41.52,-33.25,-2.81,—,—,—,—
5198,EPS GR 3Y avg,12.88,8.52,-21.99,-27.61,—,—,—,—,—,—
