code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,intrinsic,Price_A,Price_B,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,EY level,DY level,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health
8567,SALCON BERHAD,Utilities,2018-12-01,10,1.0,-0.27,-0.0,-0.12,-0.09,0.16,0.165,0.1,0.28,0.52,-16.0,-0.01,-0.06,0.0,0.0,-1.96,0.47,0.02,0.02,4.13,-7.83,62.0,27.08,28.83,0.0,-26.18,-40.36,-16.49,1.89,-3.5,-1.42,1.89,1.52,2.12,1.27,1.52,16.52,0,0,0,1+3+4+6+7+8+10,2,1+2+5+7+8+10,1+2+3+5+6+7+8,370,130,0.04,0.0,44,-30,0,0,0.0,0.0,0.0,0.0,1.0
8524,TALIWORKS CORPORATION BERHAD,Utilities,2019-12-01,10,2.5,1.5,0.18,0.58,0.43,0.75,0.845,0.635,0.98,0.5038,21.0,0.04,0.05,0.05,6.21,7.94,7.29,0.4,0.43,27.44,11.47,63.5,37.48,35.28,4.44,-15.76,-25.58,4.44,3.76,4.52,4.22,3.76,2.1,4.75,3.95,2.1,81.43,1,0,0,4+9,+,1+3+5+7+10,+,172,360,0.02,0.04,50,643,0,5,0.5,0.0,1.0,0.0,1.0
7471,EDEN INC. BERHAD,Utilities,2018-12-01,10,1.0,-0.01,0.0,0.1,0.08,0.18,0.18,0.09,0.375,0.78,13.0,0.01,0.06,0.0,0.0,1.83,-3.22,0.17,0.12,-17.6,-40.0,38.0,-1.0,-2.17,0.0,0.0,0.0,0.0,-13.32,-31.41,-30.13,-13.32,0.0,0.0,0.0,0.0,0.0,0,0,0,2+3+4+5+6+7+8+9+10,1+2+3+4+5+6+9,1+2+3+4+5+6+7+8+9+10,2+3+4,229,60,0.01,-0.02,25,3,0,0,0.0,0.0,0.0,0.0,1.0
6742,YTL POWER INTERNATIONAL BHD,Utilities,2019-06-01,10,0.0,0.62,0.0,0.79,0.59,0.6,0.68,0.48,0.85,1.59,14.0,0.05,0.07,0.05,7.35,3.08,3.72,2.11,1.51,7.63,8.65,16.11,12.38,12.53,0.0,-23.26,-18.3,-3.97,8.21,7.1,7.87,8.21,4.48,5.95,6.24,4.48,57.38,1,0,1,3+4+5+6+7,+,1+2+3+5+7+8,+,13367,11733,0.16,0.06,2664,1248,0,5,0.0,0.0,0.0,0.0,0.0
6033,PETRONAS GAS BERHAD,Utilities,2019-12-01,10,2.5,19.58,0.89,13.6,10.2,15.02,17.04,13.36,18.388,6.5611,19.0,0.9,0.05,0.82,4.81,13.77,14.76,0.16,0.29,40.3,15.89,27.64,21.76,22.23,0.99,3.62,0.99,7.66,4.64,5.26,4.87,4.64,3.25,3.9,3.42,3.25,59.48,1,0,0,1+9,+,4+6+9,+,3525,5458,0.72,0.97,0,3357,0,5,0.5,0.0,1.0,0.0,1.0
5347,TENAGA NASIONAL BHD,Utilities,2019-12-01,10,2.0,33.96,12.93,4.27,3.2,11.47,12.2,10.365,13.704,10.1957,15.0,0.8,0.07,1.0,8.2,7.81,7.82,1.2,1.2,11.29,8.9,76.0,42.45,19.29,16.16,-13.7,-6.59,16.16,7.51,6.27,7.05,7.51,2.44,3.46,2.88,2.44,11.1,1,0,1,+,+,2+3+5+9,+,30320,50939,0.59,0.8,7970,19458,0,5,1.0,0.0,1.0,0.0,0.0
5272,RANHILL HOLDINGS BERHAD,Utilities,2019-12-01,10,1.0,1.05,0.03,0.84,0.63,1.02,0.985,0.82,1.44,0.56,13.0,0.07,0.07,0.05,5.08,13.04,14.34,1.72,1.84,-9.71,0.0,30.0,15.0,6.3,0.44,0.44,0.0,32.99,6.21,6.21,0.0,0.0,5.17,5.17,0.0,0.0,25.66,0,0,0,6+7+10,6+7+8+9,2+3+5+6+7+8+9+10,10,171,1630,0.0,0.07,0,350,0,5,0.5,0.0,0.5,0.0,0.0
5264,MALAKOFF CORPORATION BERHAD,Utilities,2019-12-01,10,1.0,0.68,0.05,0.94,0.7,0.74,0.875,0.645,0.93,1.1,13.0,0.07,0.08,0.07,7.49,6.23,5.02,1.7,1.73,5.91,0.0,19.57,9.78,7.77,0.72,-2.7,-5.16,0.72,6.61,7.22,6.61,0.0,5.6,6.84,5.6,0.0,43.63,1,0,1,1+5+7+8,+,2+3+4+7,+,5474,7278,0.03,0.07,1700,2424,0,5,0.0,0.0,1.0,0.0,0.0
5209,GAS MALAYSIA BERHAD,Utilities,2019-12-01,10,3.0,2.4,0.46,2.3,1.72,2.52,2.77,2.3,2.96,0.7997,18.0,0.16,0.06,0.14,5.09,19.61,18.39,0.15,0.18,6.53,0.0,30.0,15.0,18.41,2.9,4.89,2.9,-2.3,4.49,4.97,4.7,0.0,4.06,4.85,4.64,0.0,68.04,1,0,0,+,+,2+5+6+7+8+9,+,1807,6886,0.23,0.15,369,119,0,5,1.0,0.0,0.0,1.0,1.0
5041,PBA HOLDINGS BHD,Utilities,2018-12-01,10,2.0,0.75,0.0,1.07,0.8,0.88,0.88,0.725,1.19,2.05,12.0,0.08,0.09,0.04,3.98,3.7,-13.61,0.44,0.11,8.56,-3.61,22.25,9.32,10.9,0.0,0.0,0.0,0.0,5.72,-0.49,2.7,5.72,3.53,3.56,3.45,3.53,33.46,0,0,1,2+10,1,1+2+5+6+7+10,,185,334,0.04,-0.31,80,81,0,5,0.5,0.0,0.5,0.0,1.0
