code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
0001,SUPERCOMNET TECHNOLOGIES BERHAD,Industrial Products & Services,2018-12-01,9,0.875,0.315,1.08,0.32,30.0,0.03,3.43,0.0,0.0,9.16,9.27,0.0,0.0,4.62,7.0,56.0,31.5,27.62,18.76,18.76,50.14,0.0,4.05,4.57,2.35,2.89,0.0,0.85,0.0,0.0,0.0,12.3,0,0,0,3+6,9,3+6+7+8+9,2+3+4+5+7,33,88,0.0,0.02,1,12
0002,KOTRA INDUSTRIES BERHAD,Health Care,2019-06-01,10,2.48,1.6,2.4,1.25,13.0,0.19,7.66,0.07,2.98,15.52,13.64,0.12,0.18,5.18,-24.0,113.0,44.5,33.91,7.78,40.72,30.55,7.78,4.55,4.74,6.49,5.22,4.55,0.66,2.19,1.31,0.66,10.81,0,0,1,1+5,9,5+8+9,+,102,173,0.09,0.16,3,37
0005,UCREST BERHAD,Technology,2019-05-01,10,0.17,0.035,0.245,0.0804,-57.0,-0.0,-0.0,0.0,0.0,-3.73,18.35,0.0,0.0,-108.52,-7.0,10.25,1.62,7.75,23.36,0.0,0.0,23.36,-11.34,19.76,9.6,-7.83,-11.34,0.0,0.0,0.0,0.0,0.0,0,0,0,1+4+5+6+8+9+10,3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,3+4+5+7+9+10,4,29,-0.02,0.02,0,2
0006,PINEAPPLE RESOURCES BERHAD,Technology,2018-12-01,5,0.28,0.18,0.39,0.5,-7.0,-0.04,-14.29,0.0,0.0,-8.42,0.09,0.0,0.0,0.84,-30.0,38.5,4.25,37.25,0.0,0.0,-49.87,-26.18,-0.28,2.72,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4+5,1,1+2+3+4+5,2+3+4,49,58,0.01,0.0,4,3
0008,WILLOWGLEN MSC BERHAD,Technology,2018-12-01,10,0.51,0.3,0.645,0.34,17.0,0.03,5.88,0.02,2.94,8.82,7.34,0.02,0.0,15.62,12.62,28.25,20.43,19.03,3.44,-15.02,-10.52,3.44,5.6,1.38,5.1,5.25,5.6,1.91,1.59,1.5,1.91,30.9,1,0,1,1+8+9+10,+,1+5+8+9+10,+,62,135,0.03,0.02,9,44
0011,BRITE-TECH BERHAD,Trad/Serv,2018-12-01,10,0.24,0.15,0.28,0.25,7.0,0.03,12.5,0.02,6.67,12.84,7.67,0.3,0.25,14.07,11.0,24.0,17.5,14.94,5.15,-2.94,5.15,11.72,5.69,3.18,8.17,7.71,5.69,3.22,7.02,5.61,3.22,69.68,1,0,1,2+5+9+10,+,2+4+7+10,+,17,27,0.0,0.02,4,5
0017,M3 TECHNOLOGIES (ASIA) BERHAD,Telecommunications & Media,2017-06-01,10,0.055,0.02,0.075,0.0418,-3.0,-0.02,-36.36,0.0,0.0,-38.04,-18.28,0.02,0.02,-5.09,-4.5,20.0,7.75,8.75,0.0,0.0,0.0,0.0,-15.84,34.43,-35.25,-46.98,-15.84,3.78,0.0,0.0,3.78,0.0,0,0,0,1+3+4+5+9+10,1+2+3+4+5,1+2+3+4+5+6+8+9+10,1+3+5,32,38,0.03,-0.01,7,-15
0018,LAMBO GROUP BERHAD,Technology,2018-12-01,10,0.02,0.005,0.07,0.0585,5.0,0.0,0.0,0.0,0.0,7.52,15.59,0.0,0.0,-109.03,-32.0,60.5,14.25,36.25,0.0,0.0,0.0,0.0,0.69,2.78,3.33,2.0,0.69,0.0,0.0,0.0,0.0,0.0,0,0,0,7+8+9+10,3+4+5+6+7+8+9+10,2+3+4+5+6+7+8+9+10,3+4+5+6+7+8+9+10,9,92,0.0,0.01,-2,20
0022,PARLO BERHAD,Consumer Products & Services,2018-12-01,8,0.105,0.025,0.175,0.04,-32.0,-0.0,-0.0,0.0,0.0,-8.25,-242.96,0.1,0.05,-35.21,-6.25,8.5,1.12,4.87,0.0,0.0,0.0,0.0,-4286.03,10559.07,-10716.31,-7057.79,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+4+5+8,1+3+4+5+7+8,1+2+3+4+5+6+7+8,1+2+3+4+5+7,4,162,-0.02,-0.03,1,-2
0023,IFCA MSC BERHAD,Technology,2018-12-01,9,0.375,0.165,0.57,0.2,34.0,0.01,2.67,0.01,2.67,5.5,9.87,0.0,0.0,5.16,-10.0,24.5,7.25,14.5,37.39,-19.99,37.39,0.0,3.99,7.27,4.69,6.69,0.0,1.5,3.24,2.7,0.0,10.14,0,0,0,3,8+9,2+3+4+6+7+8+9,9,37,93,0.0,0.02,-1,9
0028,SCOPE INDUSTRIES BERHAD,Industrial Products & Services,2019-06-01,10,0.105,0.065,0.22,0.1868,-11.0,-0.01,-9.52,0.0,0.0,-5.25,-4.29,0.04,0.04,-3.29,-30.0,22.0,-4.0,12.75,0.0,0.0,0.0,0.0,-3.54,18.17,-0.15,-1.2,-3.54,3.08,3.99,2.39,3.08,17.52,0,0,0,1+2+5+6+8+10,1+5+6+7+10,1+2+4+5+6+7+8+9+10,1+4+5,18,16,-0.02,-0.01,3,-1
0032,REDTONE INTERNATIONAL BERHAD,Telecommunications & Media,2018-04-01,10,0.43,0.2,0.61,0.2179,16.0,0.03,6.98,0.01,2.33,12.48,4.39,0.04,0.01,-0.65,-24.5,53.5,14.5,33.44,0.0,-28.02,-32.26,0.0,-2.04,6.06,-5.99,-2.4,-2.04,0.39,0.0,0.78,0.39,0.0,0,0,0,1+3+5+10,2+3+8+9+10,1+2+3+4+5+6+7+8+9+10,1+2+3+4+8+9+10,79,118,-0.01,0.01,0,0
