code,name,category,Annual,nYear,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end
0001,SUPERCOMNET TECHNOLOGIES BERHAD,Industrial Products & Services,2019-12-01,9,1.01,0.315,1.2,0.32,35.0,0.03,2.97,0.02,1.49,9.16,9.65,0.0,0.0,7.22,6.0,40.0,23.0,19.67,45.86,5.53,4.88,3.4,5.19,0.0,0.95,0.46,0.28,0.0,16.41,59.31,29.68,18.92,90.31,0.0,0.0,45.86,56.56,0.0,1,0,0,4+7,+,4+7+8+9,3+4+5+6+8,35,123,0.02,0.03,4,24
0002,KOTRA INDUSTRIES BERHAD,Health Care,2019-06-01,10,3.08,1.6,3.35,1.25,16.0,0.19,6.17,0.07,2.4,15.52,13.64,0.12,0.18,5.18,-24.0,113.0,44.5,33.91,7.78,4.55,4.74,6.49,5.22,4.55,0.66,2.19,1.31,0.66,10.81,2.5,3.21,6.73,31.43,9.3,0.0,40.72,30.55,7.78,0,0,1,1+5,9,5+8+9,+,102,173,0.09,0.16,3,37
0005,UCREST BERHAD,Technology,2019-05-01,10,0.15,0.035,0.245,0.0804,-51.0,-0.0,-0.0,0.0,0.0,-3.61,18.35,0.0,0.0,-108.52,-7.0,10.25,1.62,7.75,23.36,-11.34,19.76,9.6,-7.83,-11.34,0.0,0.0,0.0,0.0,0.0,108.73,35.51,12.33,0.0,26.64,0.0,0.0,0.0,23.36,0,0,0,1+4+5+6+8+9+10,3+4+5+6+7+8+9+10,1+2+3+4+5+6+7+8+9+10,3+4+5+7+9+10,4,29,-0.02,0.02,0,2
0006,PINEAPPLE RESOURCES BERHAD,Technology,2018-12-01,5,0.28,0.18,0.39,0.5,-7.0,-0.04,-14.29,0.0,0.0,-8.42,0.09,0.0,0.0,0.84,-30.0,38.5,4.25,37.25,0.0,-0.28,2.72,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,7.08,1.91,5.81,-49.88,-26.19,0.0,0.0,-49.87,-26.18,0,0,0,4+5,1,1+2+3+4+5,2+3+4,49,58,0.01,0.0,4,3
0007,PUC BERHAD,Telecommunications & Media,2019-12-01,10,0.125,0.06,0.475,0.0875,-1.0,-0.12,-96.0,0.0,0.0,-141.49,-26.21,0.02,0.02,-9.32,-4.12,12.0,3.94,5.37,0.0,-15.0,100.09,-105.99,-58.85,-15.0,4.18,0.0,0.0,4.18,16.14,22.22,-2.53,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+4+5,1+3,1+2+3+5+6+7+8+10,1+2+8,16,47,0.03,-0.14,1,-7
0007,PUC BERHAD,Telecommunications & Media,2019-12-01,10,0.125,0.06,0.475,0.0875,-1.0,-0.12,-96.0,0.0,0.0,-141.49,3.11,0.02,0.02,-9.32,-4.12,12.0,3.94,5.37,0.0,-15.0,100.09,-105.99,-58.85,-15.0,4.18,0.0,0.0,4.18,16.14,22.22,-2.53,12.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+4+5,1+3,1+2+3+5+6+7+8+10,1+2+8,16,47,0.03,-0.14,1,-7
0008,WILLOWGLEN MSC BERHAD,Technology,2019-12-01,10,0.475,0.3,0.645,0.34,19.0,0.02,4.21,0.02,3.16,7.35,9.33,0.01,0.02,14.67,11.33,28.25,19.79,18.95,1.84,5.59,1.38,4.42,4.84,5.59,1.91,1.59,1.5,1.91,34.19,1.43,4.65,8.31,-3.11,1.66,0.0,-6.59,-3.06,1.84,1,0,1,2+9+10,+,2+6+9+10,+,54,138,0.02,0.03,15,20
0011,BRITE-TECH BERHAD,Utilities,2018-12-01,10,0.25,0.15,0.28,0.25,8.0,0.03,12.0,0.02,6.4,12.84,7.67,0.3,0.25,14.07,11.0,24.0,17.5,14.94,5.15,5.69,3.18,8.17,7.71,5.69,3.22,7.02,5.61,3.22,69.68,-0.56,1.62,3.47,5.18,11.73,0.0,-2.94,5.15,11.72,1,0,1,2+5+9+10,+,2+4+7+10,+,17,27,0.0,0.02,4,5
0012,THREE-A RESOURCES BERHAD,Consumer Products & Services,2019-12-01,10,0.76,0.53,0.92,0.724,12.0,0.06,7.89,0.02,2.63,8.65,8.69,0.03,0.04,6.7,11.11,42.0,26.56,25.74,2.78,4.91,2.38,8.08,6.83,4.91,1.3,2.19,1.65,1.3,26.99,3.99,6.97,9.34,10.06,5.01,0.0,-8.84,10.27,2.78,1,0,0,1+7,+,1+2+7+9+10,2+10,249,436,0.04,0.06,-13,62
0012,THREE-A RESOURCES BERHAD,Consumer Products & Services,2019-12-01,10,0.76,0.53,0.92,0.724,12.0,0.06,7.89,0.02,2.63,8.65,9.13,0.04,0.04,6.7,11.11,42.0,26.56,25.74,2.78,4.91,2.38,8.08,6.83,4.91,1.3,2.19,1.65,1.3,26.99,3.99,6.97,9.34,10.06,5.01,0.0,-8.84,10.27,2.78,1,0,0,1+7,+,1+2+7+9+10,2+10,249,436,0.04,0.06,-13,62
0017,M3 TECHNOLOGIES (ASIA) BERHAD,Telecommunications & Media,2017-06-01,10,0.065,0.02,0.075,0.0418,-4.0,-0.02,-30.77,0.0,0.0,-38.04,-18.28,0.02,0.02,-5.09,-4.5,20.0,7.75,8.75,0.0,-15.84,34.43,-35.25,-46.98,-15.84,3.78,0.0,0.0,3.78,0.0,-0.77,-7.56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+3+4+5+9+10,1+2+3+4+5,1+2+3+4+5+6+8+9+10,1+3+5,32,38,0.03,-0.01,7,-15
0018,LAMBO GROUP BERHAD,Technology,2018-12-01,10,0.025,0.005,0.07,0.0585,6.0,0.0,0.0,0.0,0.0,6.84,15.59,0.0,0.0,-109.03,-32.0,60.5,14.25,36.25,0.0,0.69,2.78,3.33,2.0,0.69,0.0,0.0,0.0,0.0,0.0,210.22,130.32,23.78,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7+8+9+10,3+4+5+6+7+8+9+10,2+3+4+5+6+7+8+9+10,3+4+5+6+7+8+9+10,9,92,0.0,0.01,-2,20
0020,NETX HOLDINGS BERHAD,Technology,2018-06-01,9,0.015,0.005,0.025,0.02,-3.0,-0.0,-0.0,0.0,0.0,-23.5,-14.98,0.02,0.02,-116.39,-5.5,-1.42,-3.46,,0.0,-37.64,24.18,-33.33,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92,-10.52,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+5+6+8+9,1+3+4+5+6+7+8,1+2+3+4+5+6+7+8+9,1+2+3+4+5+9,10,18,-0.06,-0.01,-1,-4
0020,NETX HOLDINGS BERHAD,Technology,2018-06-01,9,0.015,0.005,0.025,0.02,-3.0,-0.0,-0.0,0.0,0.0,-23.5,-14.98,0.02,0.02,-116.39,-5.5,-1.42,-3.46,,0.0,-37.64,24.18,-33.33,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92,-10.52,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+5+6+8+9,1+3+4+5+6+7+8,1+2+3+4+5+6+7+8+9,1+2+3+4+5+9,10,18,-0.06,-0.01,-1,-4
0021,GHL SYSTEMS BERHAD,Technology,2019-12-01,10,1.95,1.04,2.1,0.5883,62.0,0.03,1.54,0.0,0.0,5.37,6.77,0.05,0.06,-0.65,-7.0,72.0,32.5,42.04,11.56,-3.18,13.83,2.28,2.45,-3.18,0.0,0.0,0.0,0.0,0.0,12.24,16.09,19.79,34.49,0.0,0.0,11.56,26.96,0.0,0,0,0,8+9,9+10,6+8+9+10,6+7,64,348,-0.06,0.04,4,92
0021,GHL SYSTEMS BERHAD,Technology,2019-12-01,10,1.95,1.04,2.1,0.5883,62.0,0.03,1.54,0.0,0.0,5.37,7.21,0.04,0.04,-0.65,-7.0,72.0,32.5,42.04,11.56,-3.18,13.83,2.28,2.45,-3.18,0.0,0.0,0.0,0.0,0.0,12.24,16.09,19.79,34.49,0.0,0.0,11.56,26.96,0.0,0,0,0,8+9,9+10,6+8+9+10,6+7,64,348,-0.06,0.04,4,92
