code,name,Price,EPS,52w low,52w high,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,P/E mid,DPayout avg,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,Price A5,Price A10,Price B
0001,SUPERCOMNET TECHNOLOGIES BERHAD,1.01,0.03,0.315,1.2,45.86,56.56,0.0,23.0,16.41,0.07,0.06,0.35,0.05,0.04,0.26,0.61
0002,KOTRA INDUSTRIES BERHAD,3.08,0.19,1.6,3.35,40.72,30.55,7.78,44.5,10.81,0.5,0.64,1.43,0.38,0.48,1.07,2.18
0005,UCREST BERHAD,0.15,-0.0,0.035,0.245,0.0,0.0,23.36,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0006,PINEAPPLE RESOURCES BERHAD,0.28,-0.04,0.18,0.39,0.0,-49.87,-26.18,4.25,0.0,-0.4,-79.82,-2.91,-0.3,-59.86,-2.18,0.25
0007,PUC BERHAD,0.125,-0.12,0.06,0.475,0.0,0.0,0.0,3.94,16.14,-1.39,-1.39,-1.39,-1.04,-1.04,-1.04,0.2
0007,PUC BERHAD,0.125,-0.12,0.06,0.475,0.0,0.0,0.0,3.94,16.14,-1.39,-1.39,-1.39,-1.04,-1.04,-1.04,0.2
0007,PUC BERHAD,0.125,-0.12,0.06,0.475,0.0,0.0,0.0,3.94,16.14,-1.39,-1.39,-1.39,-1.04,-1.04,-1.04,0.2
0007,PUC BERHAD,0.125,-0.12,0.06,0.475,0.0,0.0,0.0,3.94,16.14,-1.39,-1.39,-1.39,-1.04,-1.04,-1.04,0.2
0008,WILLOWGLEN MSC BERHAD,0.475,0.02,0.3,0.645,-6.59,-3.06,1.84,19.79,34.19,0.4,0.37,0.22,0.3,0.28,0.16,0.41
0011,BRITE-TECH BERHAD,0.25,0.03,0.15,0.28,-2.94,5.15,11.72,17.5,69.68,0.62,0.38,0.29,0.46,0.29,0.22,0.19
0012,THREE-A RESOURCES BERHAD,0.76,0.06,0.53,0.92,-8.84,10.27,2.78,26.56,26.99,1.31,0.46,0.65,0.98,0.34,0.49,0.66
0012,THREE-A RESOURCES BERHAD,0.76,0.06,0.53,0.92,-8.84,10.27,2.78,26.56,26.99,1.31,0.46,0.65,0.98,0.34,0.49,0.66
0012,THREE-A RESOURCES BERHAD,0.76,0.06,0.53,0.92,-8.84,10.27,2.78,26.56,26.99,1.31,0.46,0.65,0.98,0.34,0.49,0.66
0012,THREE-A RESOURCES BERHAD,0.76,0.06,0.53,0.92,-8.84,10.27,2.78,26.56,26.99,1.31,0.46,0.65,0.98,0.34,0.49,0.66
0017,M3 TECHNOLOGIES (ASIA) BERHAD,0.065,-0.02,0.02,0.075,0.0,0.0,0.0,7.75,0.0,-0.2,-0.2,-0.2,-0.15,-0.15,-0.15,0.04
0018,LAMBO GROUP BERHAD,0.025,0.0,0.005,0.07,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
