code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
0008,Technology,0.43,0.3,0.645,0.34,18.0,0.02,4.65,0.02,3.49,7.06
0020,Technology,0.165,0.095,0.486,0.02,-15.0,-0.01,-6.06,0.0,0.0,-54.5
0045,Technology,0.065,0.03,0.095,-0.0219,-9.0,-0.01,-15.38,0.0,0.0,33.33
0050,Technology,0.21,0.06,0.355,0.1521,-89.0,-0.0,-0.0,0.0,0.95,-1.58
0054,Industrial Products & Services,0.215,0.085,0.355,0.22,20.0,0.01,4.65,0.01,4.65,5.0
0079,Technology,0.075,0.03,0.17,0.1382,-15.0,-0.01,-13.33,0.0,0.0,-3.69
0080,Transportation & Logistics,0.165,0.13,0.26,0.1724,20.0,0.01,6.06,0.0,0.0,4.7
0083,Technology,1.11,0.273,2.34,0.8172,49.0,0.02,1.8,0.0,0.0,2.77
0133,Industrial Products & Services,0.065,0.035,0.125,0.21,-7.0,-0.01,-15.38,0.0,0.0,-4.71
0149,Industrial Products & Services,0.285,0.2,0.4,0.51,16.0,0.02,7.02,0.01,1.89,3.57
0153,Consumer Products & Services,0.64,0.09,0.93,0.19,-24.0,-0.03,-4.69,0.0,0.0,-13.95
0156,Technology,0.155,0.04,0.22,0.11,-9.0,-0.02,-12.9,0.0,0.0,-15.0
0161,Industrial Products & Services,0.095,0.035,0.135,0.1405,-7.0,-0.01,-10.53,0.0,0.0,-10.18
0168,Industrial Products & Services,0.765,0.3,0.745,0.42,21.0,0.04,5.23,0.02,2.29,8.83
0173,Telecommunications & Media,0.205,0.04,0.35,0.04,-24.0,-0.01,-4.88,0.0,0.0,-21.75
0181,Technology,0.745,0.075,0.785,0.13,-54.0,-0.01,-1.34,0.0,0.0,-10.62
0185,Industrial Products & Services,0.48,0.25,0.895,0.44,28.0,0.02,4.17,0.0,0.0,3.89
0187,Industrial Products & Services,0.275,0.06,0.455,0.12,45.0,0.01,3.64,0.0,0.36,5.08
0192,Construction,0.305,0.15,0.4,0.254,15.0,0.02,6.56,0.01,3.28,8.19
0213,Industrial Products & Services,0.72,0.2,1.22,0.26,16.0,0.04,5.56,0.03,4.17,17.04
0220,Energy,0.54,0.4,0.78,0.08,26.0,0.02,3.7,0.0,0.0,26.38
0222,Health Care,0.695,0.61,0.895,0.12,97.0,0.01,1.44,0.0,0.0,6.0
1015,Financial Services,3.11,2.8,4.2,6.38,7.0,0.44,14.15,0.13,4.28,6.84
1023,Financial Services,3.29,2.9,5.4,5.6497,12.0,0.27,8.21,0.26,7.9,4.72
1066,Financial Services,4.73,4.17,5.98,6.62,9.0,0.55,11.63,0.31,6.55,8.32
1082,Financial Services,14.96,9.75,17.68,18.43,9.0,1.62,10.83,0.38,2.54,8.78
1147,Property,0.455,0.135,0.78,0.54,-6.0,-0.08,-17.58,0.0,0.0,-14.72
1155,Financial Services,7.54,6.96,8.86,7.3019,11.0,0.66,8.75,0.64,8.49,9.06
1287,Consumer Products & Services,0.09,0.045,0.375,0.0327,-22.0,-0.0,-0.0,0.0,0.0,-12.23
1503,Property,0.45,0.37,0.75,1.8434,-9.0,-0.05,-11.11,0.02,4.44,-2.77
1538,Property,0.56,0.25,0.74,1.63,9.0,0.06,10.71,0.02,3.57,3.93
1643,Consumer Products & Services,0.35,0.2,0.52,3.33,-2.0,-0.18,-51.43,0.0,0.0,-5.4
2216,Plantation,1.77,1.01,2.48,1.54,66.0,0.03,1.69,0.02,1.13,1.73
2542,Plantation,2.83,2.25,3.29,4.21,23.0,0.12,4.24,0.03,1.06,2.92
2828,Consumer Products & Services,1.52,0.82,1.72,1.41,8.0,0.19,12.5,0.1,6.58,13.18
