code,ROE2,D/E,D/E2
0001,9.65,0.0,0.0
0002,16.33,0.08,0.1
0005,-72.17,0.0,0.01
0006,0.09,0.12,0.0
0008,9.33,0.02,0.02
0010,4.91,0.04,0.07
0011,9.77,0.42,0.34
0012,8.69,0.03,0.04
0018,15.59,0.0,0.0
0020,-14.98,0.02,0.02
0021,6.77,0.04,0.06
0022,-8.63,0.2,0.16
0023,4.98,0.0,0.0
0024,-7.78,0.12,0.14
0025,1.05,0.08,0.04
0026,-6.27,0.01,0.02
0028,-27.68,0.03,0.04
0029,-4.59,4.17,4.25
0034,-29.9,0.13,0.19
0036,-24.04,0.11,0.24
0037,16.0,0.09,0.09
0038,-7.47,0.01,0.01
0039,6.16,2.61,3.11
0040,18.29,0.17,0.21
0041,-18.99,0.01,0.01
0043,-19.72,0.0,0.0
0048,-1.55,0.23,0.25
0049,8.18,0.04,0.01
0050,1.58,0.12,0.11
0051,-37.32,0.04,0.0
0053,3.46,0.0,0.0
0054,6.72,0.07,0.07
0055,-4.14,0.0,0.0
0056,2.5,0.0,0.01
0058,3.15,0.0,0.0
0060,-15.41,0.27,0.06
0064,-6.19,0.0,0.0
0065,9.01,0.0,0.0
0066,-27.0,0.0,0.01
0068,-51.73,0.01,0.19
0069,-15.02,0.01,0.02
0070,-12.58,0.0,0.0
0072,-27.85,0.09,0.25
0074,9.16,0.0,0.0
0075,-43.73,1.45,1.22
0078,3.85,0.1,0.15
0079,-3.86,0.01,0.01
0080,7.23,0.03,0.03
0081,1.63,0.01,0.02
0083,1.83,0.12,0.13
0084,13.1,0.0,0.01
0085,-47.83,0.01,0.01
0086,-12.81,0.0,0.0
0089,4.81,0.08,0.08
0090,15.49,0.0,0.0
0091,0.0,0.0,0.0
0093,-2.34,0.17,0.17
0094,-50.51,0.0,0.0
0095,-23.36,0.09,0.1
0097,17.78,0.07,0.09
0098,-86.18,0.09,0.09
0099,21.85,0.02,0.02
0100,4.42,0.01,0.01
0101,2.78,0.11,0.0
0102,-36.27,0.08,0.29
0104,-0.22,0.11,0.12
0105,-5.65,0.15,0.0
0106,24.38,0.0,0.0
0107,-102.73,0.38,0.73
0108,6.21,0.03,0.06
0111,5.95,0.0,0.0
0112,4.01,0.08,0.09
0113,12.73,0.0,0.0
0116,-4.49,0.08,0.09
0117,-29.86,2.41,1.94
0118,-6.61,0.67,0.66
0119,-0.98,0.0,0.0
0120,11.93,0.0,0.0
0122,-18.65,0.09,0.08
0126,36.16,0.06,0.1
0127,15.89,0.16,0.18
0128,19.71,0.03,0.03
0131,-11.28,0.01,0.01
0132,-30.82,0.25,0.29
0133,-8.25,0.16,0.15
0136,0.0,0.21,0.0
0138,42.26,0.14,0.21
0141,0.0,0.0,0.0
0143,-68.64,0.0,0.03
0145,-39.92,0.0,0.02
0146,23.05,0.03,0.03
0148,-16.39,0.17,0.17
0149,4.34,0.0,0.0
0150,98.15,0.01,0.03
0151,17.99,0.2,0.17
0152,-23.05,0.46,0.0
0153,-10.66,0.03,0.03
0154,-29.85,0.01,0.01
0155,0.0,0.07,0.0
0156,-6.55,0.0,0.0
0157,16.57,0.76,0.92
0158,12.7,0.01,0.01
0160,3.01,0.21,0.22
0161,-9.75,0.57,0.22
0163,-5.79,0.04,0.19
0167,-9.79,0.16,0.16
0168,11.16,0.04,0.02
0169,-5.72,0.0,0.0
0170,5.08,0.21,0.32
0171,8.49,0.02,0.02
0174,-18.72,0.22,0.22
0175,-4.42,0.42,0.22
0176,9.62,0.03,0.03
0177,-15.85,0.22,0.26
0179,5.15,0.05,0.06
0180,3.39,0.18,0.19
0181,-4.11,0.13,0.13
0182,7.37,0.07,0.08
0183,-5.41,0.01,0.01
0185,0.55,0.22,0.25
0186,12.97,0.57,0.86
0187,10.56,0.08,0.09
0188,9.61,0.01,0.03
0190,2.66,0.11,0.14
0191,5.1,0.11,0.11
0193,17.45,0.08,0.09
0196,3.74,0.04,0.05
0197,10.49,0.28,0.23
0199,3.59,0.24,0.28
0200,12.7,0.08,0.09
0201,15.92,0.0,0.0
0202,9.15,0.01,0.02
0203,5.29,0.0,0.01
0205,8.39,0.0,0.0
0207,3.71,0.13,0.15
0208,39.4,0.07,0.1
0209,13.43,0.01,0.02
0210,13.12,0.2,0.24
0211,0.21,0.0,0.0
0212,6.43,0.57,0.67
0213,21.6,0.0,0.0
0215,21.3,0.07,0.08
0216,16.13,0.08,0.09
0217,25.24,0.02,0.0
0218,21.77,0.11,0.26
0219,25.66,0.2,0.18
0220,23.19,0.03,0.04
0222,25.06,0.57,0.47
0223,29.18,0.0,0.02
0225,17.65,0.07,0.11
0227,34.26,0.01,0.02
0228,10.39,0.27,0.18
1015,7.39,0.3,0.34
1023,8.44,0.79,0.87
1058,3.15,0.0,0.0
1066,10.1,0.26,0.29
1082,9.29,0.18,0.2
1155,10.45,0.84,0.79
1163,12.1,0.01,0.01
1171,8.76,0.33,0.35
1198,-6.13,0.02,0.03
1201,-0.51,0.0,0.0
1287,-10.54,0.44,0.44
1295,13.03,0.3,0.31
1368,11.83,0.27,0.24
1481,16.58,0.2,0.18
1562,18.19,1.34,1.38
1619,1.58,0.87,0.52
1643,-5.75,0.07,0.07
1818,22.72,0.01,0.01
2062,6.34,0.11,0.12
2097,-7.39,0.17,0.15
2127,11.28,0.06,0.09
2143,16.11,0.11,0.1
2186,0.58,0.0,0.0
2194,2.7,1.15,1.01
2488,7.24,0.29,0.3
2658,12.46,0.0,0.0
2674,0.26,0.88,0.89
2739,-64.17,0.03,0.02
2755,12.26,0.0,0.0
2771,-23.43,0.8,0.81
2828,13.75,0.06,0.07
2836,183.26,0.03,0.04
2852,6.15,0.31,0.28
2879,4.81,0.16,0.48
2925,-14.46,0.35,0.48
2984,1.0,0.01,0.01
3018,-5.61,0.09,0.38
3034,16.19,0.5,0.42
3042,10.25,0.02,0.02
3069,10.64,0.29,0.02
3107,2.09,0.03,0.02
3182,5.73,1.09,0.85
3247,0.99,0.09,0.07
3255,81.8,0.02,0.01
3298,6.82,0.0,0.0
3301,10.24,0.01,0.01
3395,-1.69,0.76,0.76
3441,-24.74,6.66,4.84
3476,3.93,0.08,0.0
3514,7.88,0.02,0.02
3662,4.52,0.24,0.22
3689,15.72,0.0,0.0
3719,14.15,0.0,0.0
3778,-0.44,0.09,0.09
3794,-11.84,0.2,0.11
3816,4.07,0.31,0.22
3859,9.71,0.31,0.27
3867,11.55,0.02,0.02
3883,3.78,0.1,0.11
3891,-68.46,3.71,3.64
3905,-6.92,0.27,0.24
4006,5.33,0.01,0.01
4065,5.43,0.01,0.01
4081,-2.79,0.0,0.0
4162,85.33,0.05,0.06
4197,5.52,0.11,0.1
4219,-1.58,0.81,0.81
4235,-26.7,0.07,0.05
4243,-10.65,0.19,0.11
4324,1.73,0.26,0.3
4359,0.38,0.28,0.29
4405,1.49,0.2,0.19
4456,6.5,0.04,0.05
4588,9.84,0.34,0.45
4634,-9.06,0.36,0.12
4677,-1.47,2.79,2.7
4707,102.01,0.32,0.27
4715,7.6,0.65,0.5
4731,16.3,0.14,0.14
4758,-3.09,0.21,0.26
4847,0.0,0.0,0.0
4898,6.06,0.15,0.21
4944,-7.4,0.11,0.14
4952,4.53,0.45,0.44
4995,-37.66,0.01,0.01
5000,-11.08,0.56,0.59
5001,0.49,0.28,0.28
5005,-0.69,0.09,0.08
5007,0.42,0.0,0.0
5008,8.58,0.19,0.17
5009,-9.5,0.04,0.05
5010,4.28,0.03,0.04
5011,-0.77,0.01,0.03
5014,5.19,0.42,0.41
5015,2.17,0.01,0.01
5016,-2.06,0.04,0.05
5021,-3.96,0.05,0.13
5022,-1.42,0.0,0.0
5024,26.79,0.0,0.0
5025,-18.27,0.0,0.0
5028,6.78,0.13,0.13
5032,9.93,0.91,1.05
5035,7.66,0.03,0.02
5036,-13.85,0.21,0.23
5037,-7.86,0.03,0.0
5041,3.66,0.35,0.42
5048,-2.91,0.0,0.0
5056,-0.13,0.08,0.09
5060,0.0,0.0,0.0
5065,7.79,0.06,0.04
5066,1.4,0.12,0.14
5068,5.24,0.0,0.01
5071,-9.29,0.07,0.03
5072,0.5,0.0,0.0
5077,-1.96,0.82,1.24
5078,-74.51,4.18,0.48
5079,-67.22,0.5,0.45
5080,4.36,0.1,0.09
5081,2.94,0.16,0.14
5082,-21.07,0.04,0.03
5087,-2.7,0.09,0.1
5088,2.0,0.0,0.0
5094,4.27,0.0,0.0
5095,3.32,0.02,0.03
5098,-1.2,0.2,0.2
5099,-5.14,8.75,2.28
5100,11.39,0.0,0.0
5101,-3.66,0.06,0.07
5102,26.96,0.12,0.05
5104,-7.23,0.02,0.02
5105,55.86,0.43,0.43
5106,11.18,0.23,0.24
5107,-14.44,0.06,0.03
5109,0.36,0.79,0.8
5110,2.77,0.4,0.0
5111,1.45,0.48,0.0
5115,-21.68,0.03,0.23
5116,7.99,0.08,0.68
5120,2.8,0.58,0.53
5121,1.84,0.92,0.9
5123,2.16,0.64,0.38
5125,5.78,0.08,0.09
5127,4.57,0.83,0.62
5130,1.57,0.53,0.54
5131,8.19,0.0,0.0
5132,9.73,0.06,0.06
5133,17.34,0.01,0.01
5134,5.35,0.01,0.01
5136,28.12,0.16,0.15
5139,15.11,3.69,3.21
5140,2.2,0.51,0.58
5141,18.06,0.45,0.48
5142,2.49,0.6,0.45
5143,12.71,0.0,0.0
5145,-10.51,0.1,0.11
5147,15.72,0.07,0.08
5149,-60.26,0.09,0.12
5151,1.96,0.06,0.07
5152,15.66,0.1,0.08
5156,1.64,0.0,0.0
5157,-70.85,0.17,0.23
5159,6.29,0.01,0.02
5160,14.22,0.0,0.0
5161,2.88,0.0,0.0
5162,9.93,0.0,0.0
5163,15.6,1.09,0.49
5165,-10.8,0.38,0.39
5166,-17.79,1.22,0.95
5168,18.08,0.06,0.08
5170,-42.48,0.57,0.53
5172,-24.86,0.38,1.08
5173,-14.77,0.07,0.08
5176,4.35,0.04,0.04
5178,-27.86,0.2,0.97
5180,2.76,0.49,0.48
5181,69.34,0.0,0.0
5183,9.31,0.09,0.08
5184,13.0,1.21,1.31
5185,5.42,0.38,0.4
5186,-1.43,0.12,0.08
5187,5.06,0.07,0.0
5188,0.13,0.0,0.0
5192,-2.57,0.03,0.03
5195,-77.16,0.0,0.2
5196,-5.61,1.21,1.26
5197,-3.93,0.0,0.0
5198,1.17,0.04,0.06
5199,-4.01,0.01,0.01
5202,-16.56,0.39,0.37
5204,-16.01,0.23,0.23
5208,9.64,0.1,0.1
5209,18.39,0.15,0.18
5210,1.78,2.35,2.17
5211,7.91,0.4,0.24
5212,6.6,0.45,0.54
5216,23.22,0.22,0.23
5218,-41.32,0.86,0.87
5219,10.32,1.34,1.35
5220,1.0,0.02,0.02
5223,1.98,0.12,0.12
5225,1.9,0.43,0.41
5227,8.37,0.32,0.32
5228,8.35,0.3,0.43
5229,8.2,0.0,0.0
5230,9.33,0.01,0.0
5231,1.73,0.35,0.24
5232,1.59,0.17,0.18
5235SS,15.58,0.37,0.45
5237,2.27,0.01,0.0
5238,-182.78,0.0,39.19
5242,-5.01,0.12,0.16
5243,1.19,0.33,0.36
5246,23.75,0.53,0.6
5247,0.05,0.04,0.05
5248,19.49,0.12,0.14
5250,55.67,10.29,5.45
5255,-19.21,0.87,0.7
5256,-21.9,1.5,0.01
5257,8.07,0.17,0.2
5258,14.41,0.41,0.42
5259,14.86,0.58,0.78
5260,-15.09,0.52,0.54
5264,5.02,1.65,1.73
5265,-16.86,0.16,1.23
5267,0.59,0.54,0.51
5269,5.81,1.01,0.14
5271,5.23,0.0,0.0
5272,14.34,1.65,1.84
5273,4.3,0.18,0.19
5274,11.5,0.14,0.14
5275,10.12,0.26,0.2
5276,11.57,0.07,0.01
5277,18.23,0.0,0.0
5278,8.17,0.27,0.23
5279,21.97,1.07,1.21
5280,6.26,0.6,0.61
5284,3.67,0.0,0.0
5286,16.65,0.01,0.0
5289,7.98,0.0,0.0
5291,6.69,0.15,0.18
5292,28.9,0.02,0.02
