code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
0001,Health Care,1.97,0.314,2.38,0.3398,68.0,0.03,1.52,0.02,0.76,8.59,9.65,0.0,0.0
0002,Health Care,2.85,1.6,4.45,1.31,16.0,0.18,6.32,0.09,3.16,13.88,16.33,0.08,0.1
0005,Technology,0.175,0.035,0.23,0.06,-11.0,-0.02,-11.43,0.0,0.0,-25.5,-72.17,0.0,0.01
0006,Technology,0.805,0.18,0.795,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.0
0008,Technology,0.455,0.3,0.555,0.34,0.0,0.0,0.0,0.02,3.3,0.0,9.33,0.02,0.02
0010,Technology,0.385,0.06,0.455,0.0947,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.04,0.07
0011,Utilities,0.5,0.15,0.68,0.24,0.0,0.0,0.0,0.02,3.2,0.0,9.77,0.42,0.34
0012,Consumer Products & Services,0.8,0.53,1.03,0.7490000000000001,0.0,0.0,0.0,0.02,2.75,0.0,8.69,0.03,0.04
0018,Technology,0.025,0.005,0.08,0.0543,0.0,0.0,0.0,0.0,0.0,0.0,15.59,0.0,0.0
0020,Technology,0.13,0.095,0.486,0.03,0.0,0.0,0.0,0.0,0.0,0.0,-14.98,0.02,0.02
0021,Technology,1.93,0.693,2.17,0.6261,143.0,0.01,0.52,0.0,0.0,2.16,6.77,0.04,0.06
0022,Consumer Products & Services,0.335,0.025,0.655,0.03,-21.0,-0.02,-5.97,0.0,0.0,-53.0,-8.63,0.2,0.16
0023,Technology,0.42,0.165,0.52,0.19,30.0,0.01,2.38,0.01,2.38,7.42,4.98,0.0,0.0
0024,Industrial Products & Services,0.31,0.1,0.4,0.3502,19.0,0.02,6.45,0.0,0.0,4.57,-7.78,0.12,0.14
0025,Industrial Products & Services,0.405,0.075,0.45,0.25,-328.0,-0.0,-0.0,0.0,0.0,-0.48,1.05,0.08,0.04
0026,Technology,0.11,0.015,0.135,0.0733,-25.0,-0.0,-0.0,0.0,0.0,-5.87,-6.27,0.01,0.02
0028,Industrial Products & Services,0.31,0.065,0.34,0.1544,-9.0,-0.03,-9.68,0.0,0.0,-22.54,-27.68,0.03,0.04
0029,Technology,0.1,0.015,0.21,0.07,-32.0,-0.0,-0.0,0.0,0.0,-4.57,-4.54,3.58,3.58
0034,Technology,0.455,0.12,1.97,0.1429,-33.0,-0.01,-2.2,0.0,0.0,-9.8,-29.9,0.13,0.19
0036,Technology,0.055,0.009000000000000001,0.12,0.1277,5.0,0.01,18.18,0.0,0.0,9.24,-24.04,0.11,0.24
0037,Consumer Products & Services,0.145,0.1,0.21,0.15,-29.0,-0.0,-0.0,0.0,2.07,-3.27,16.0,0.09,0.09
0038,Industrial Products & Services,0.81,0.05,0.82,0.1187,-37.0,-0.02,-2.47,0.0,0.0,-18.45,-7.47,0.01,0.01
0039,Industrial Products & Services,0.185,0.06,0.25,0.24,47.0,0.0,0.0,0.0,0.92,1.67,6.16,2.61,3.11
0040,Technology,0.57,0.17300000000000001,0.88,0.15,21.0,0.03,5.26,0.01,1.61,18.47,18.29,0.17,0.21
0041,Technology,1.61,0.04,1.88,0.2142,-114.0,-0.01,-0.62,0.0,0.0,-6.63,-18.99,0.01,0.01
0043,Industrial Products & Services,0.09,0.015,0.2,0.08,-8.0,-0.01,-11.11,0.0,0.0,-13.5,-19.72,0.0,0.0
0048,Transportation & Logistics,0.41,0.03,0.7,0.05,-732.0,-0.0,-0.0,0.0,0.0,-1.2,-1.55,0.23,0.25
0049,Consumer Products & Services,0.525,0.29,1.52,0.4025,32.0,0.02,3.81,0.01,1.52,4.05,8.18,0.04,0.01
0050,Technology,0.29,0.06,0.355,0.1464,-48.0,-0.01,-3.45,0.0,0.69,-4.17,1.58,0.11,0.11
0051,Technology,0.255,0.045,0.3,0.084,-12.0,-0.02,-7.84,0.0,0.0,-25.36,-37.32,0.04,0.0
0053,Financial Services,0.46,0.3,0.55,0.9,10.0,0.05,10.87,0.0,0.0,5.26,3.46,0.0,0.0
0054,Industrial Products & Services,0.23,0.085,0.355,0.22,29.0,0.01,4.35,0.01,4.35,3.59,6.72,0.07,0.07
0055,Industrial Products & Services,0.23,0.05,0.325,0.07,-76.0,-0.0,-0.0,0.0,0.0,-4.29,-4.14,0.0,0.0
0056,Technology,0.335,0.16,0.37,0.2017,-132.0,-0.0,-0.0,0.0,0.0,-1.24,2.5,0.0,0.01
0058,Industrial Products & Services,1.3,1.15,1.48,2.35,30.0,0.04,3.08,0.04,3.08,1.83,3.15,0.0,0.0
0060,Technology,0.17,0.08,0.44,0.1539,-11.0,-0.02,-11.76,0.0,0.0,-10.27,-15.41,0.27,0.06
0064,Industrial Products & Services,0.2,0.05,0.295,0.18,-26.0,-0.01,-5.0,0.0,0.0,-4.22,-6.19,0.0,0.0
0065,Technology,0.475,0.23,0.67,0.17,34.0,0.01,2.11,0.01,2.11,8.24,9.01,0.0,0.0
0066,Technology,0.035,0.01,0.14,0.0324,-8.0,-0.0,-0.0,0.0,0.0,-12.96,-27.0,0.0,0.01
0068,Technology,0.67,0.06,0.845,0.0329,-18.0,-0.04,-5.97,0.0,0.0,-111.25,-132.16,0.15,0.15
0069,Technology,0.935,0.15,2.05,0.08,144.0,0.01,1.07,0.0,0.0,8.13,-15.02,0.01,0.02
0070,Technology,0.12,0.01,0.305,0.05,-7.0,-0.02,-16.67,0.0,0.0,-33.0,-12.58,0.0,0.0
0072,Industrial Products & Services,0.14,0.015,0.3,0.0581,-40.0,-0.0,-0.0,0.0,0.0,-6.02,-27.85,0.09,0.25
0074,Consumer Products & Services,0.075,0.06,0.431,0.0535,-13.0,-0.01,-13.33,0.0,0.0,-11.03,9.16,0.0,0.0
0075,Health Care,0.295,0.12,0.68,0.05,-9.0,-0.03,-10.17,0.0,0.0,-62.8,-43.73,1.45,1.22
