code,nYear,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,ROE,ROE2,D/E,D/E2,P/E mid,EPS,EPS GR min,EY level,DY level,neg Revenue count,neg EPS count,neg OCF count,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health,3G2H,PE Value,EPS GR Value
4731,10,804,3517,0.06,0.25,111,715,15.43,16.3,0.13,0.14,53.48,0.27,11.22,3,5,0,0,0,1.0,1.0,1.0,1.0,1.0,5.0,14.44,3.03
5246,10,1387,1975,0.1,0.19,491,1025,23.13,24.29,0.42,0.42,22.12,0.19,0.14,2,4,2,2,0,0.5,0.5,1.0,1.0,1.0,4.0,4.2,0.03
5292,5,76,219,0.02,0.05,32,55,15.56,28.9,0.02,0.02,45.5,0.07,56.52,0,0,1,2,0,0.5,0.5,1.0,1.0,1.0,4.0,3.19,3.96
0208,5,21,216,0.02,0.06,8,104,15.89,39.4,0.07,0.1,75.83,0.07,32.52,0,0,2,2,0,0.5,0.5,1.0,1.0,1.0,4.0,5.31,2.28
7087,10,444,1206,0.04,0.28,9,98,18.39,21.41,0.0,0.0,14.49,0.29,0.39,4,5,2,1,0,0.5,0.5,1.0,1.0,1.0,4.0,4.2,0.11
4707,10,4701,5412,1.82,2.36,582,909,99.03,90.46,0.47,0.47,43.8,2.36,3.51,0,2,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,103.37,8.28
0099,10,141,181,0.04,0.06,19,26,21.73,21.85,0.01,0.02,17.89,0.07,10.08,3,5,3,2,0,0.5,0.5,1.0,1.0,1.0,4.0,1.25,0.71
0213,5,127,166,0.02,0.05,18,45,18.0,21.6,0.0,0.0,5.1,0.05,14.62,3,5,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,0.26,0.73
5024,10,219,310,0.03,0.05,31,51,26.47,26.79,0.0,0.0,17.42,0.04,1.7,2,5,2,6,0,0.5,0.0,1.0,1.0,1.0,3.5,0.7,0.07
7277,10,1208,2303,0.03,0.11,168,847,11.96,15.91,0.25,0.36,30.0,0.1,15.14,1,1,4,0,0,0.0,1.0,1.0,0.5,1.0,3.5,3.0,1.51
1818,10,381,779,0.18,0.47,177,417,42.05,45.47,0.01,0.01,27.27,0.47,12.64,3,5,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,12.82,5.94
8621,10,663,1221,0.39,0.85,-12,257,17.12,16.64,0.02,0.02,18.94,0.86,0.96,3,5,2,1,2,0.5,0.5,0.5,1.0,1.0,3.5,16.29,0.83
7113,10,2054,7237,0.02,0.22,172,3456,97.56,40.28,0.02,0.04,135.33,0.84,20.79,5,5,3,5,0,0.5,0.0,1.0,1.0,1.0,3.5,113.68,17.46
7153,10,1047,2217,0.04,0.09,138,275,45.66,16.4,0.07,0.12,82.93,0.42,9.07,4,5,2,3,0,0.5,0.0,1.0,1.0,1.0,3.5,34.83,3.81
0216,5,36,61,0.02,0.04,4,12,8.67,16.13,0.08,0.09,13.0,0.02,34.24,3,0,1,2,0,0.5,0.5,1.0,0.5,1.0,3.5,0.26,0.68
7106,10,977,2132,0.06,0.2,62,1304,67.67,39.57,0.02,0.07,68.82,0.85,12.28,5,0,3,5,0,0.5,0.0,1.0,1.0,1.0,3.5,58.5,10.44
0106,10,15,25,0.02,0.05,6,9,25.81,24.38,0.0,0.0,16.66,0.05,3.9,3,5,3,6,0,0.5,0.0,1.0,1.0,1.0,3.5,0.83,0.2
7100,10,101,157,0.13,0.17,49,84,46.13,48.53,0.0,0.0,20.14,0.18,7.82,3,5,2,5,0,0.5,0.0,1.0,1.0,1.0,3.5,3.63,1.41
0163,8,55,365,0.01,-0.01,-2,48,45.67,-5.79,0.04,0.19,-83.25,0.22,0.0,4,1,0,5,2,1.0,0.0,0.5,1.0,1.0,3.5,-18.32,0.0
