code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price A5,Price A10,Price B,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2,NPM avg,P/E min,P/E max,P/E mid,P/E avg,EPS GR min,EY avg,EY std,EY 3Y avg,EY 5Y avg,EY 10Y avg,DY avg,DY 3Y avg,DY 5Y avg,DY 10Y avg,DPayout avg,Revenue GR 3Y avg,Revenue GR 5Y avg,Revenue GR 10Y avg,NP GR 3Y avg,NP GR 5Y avg,NP GR 10Y avg,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg,check NP,check EPS GR,check OCF,neg Revenue GR,neg NP,neg EPS GR,neg OCF,Revenue start,Revenue end,EPS start,EPS end,OCF start,OCF end,intrinsic 3Y,intrinsic 5Y,intrinsic 10Y,Price A3,EY level,DY level,Revenue Growth,EPS Growth,OCF Growth,ROE Health,D/E Health
0098,BAHVEST RESOURCES BERHAD,Agricultural Products,2020-03-01,9,1.0,0.04,-0.0,-0.08,-0.08,0.53,0.425,0.375,0.845,0.0871,-37.0,-0.01,-2.35,0.0,0.0,-13.32,-86.18,0.11,0.09,-37.83,-110.0,102.0,-4.0,85.5,0.0,-3.36,9.67,-9.72,-5.64,0.0,0.0,0.0,0.0,0.0,0.0,45.18,40.77,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3+6+7+8,1+4+5+6+7+8,1+2+3+4+5+6+7+8,3+4+5+6+7,32,95,0.0,-0.15,7,17,-0.1,-0.1,-0.1,-0.08,0,0,0.0,0.0,0.0,0.0,1.0
0136,GREENYIELD BERHAD,Agricultural Products,2020-12-01,7,1.0,0.32,0.07,0.14,0.23,0.2,0.275,0.11,0.385,0.184,12.0,0.02,7.27,0.0,0.73,12.23,8.88,0.19,0.2,9.66,9.5,22.5,16.0,16.44,3.73,3.94,3.89,3.51,3.06,0.0,2.77,0.0,2.2,0.0,15.3,2.47,-5.21,-1.37,3.74,-2.91,0.0,150.0,3.73,-2.91,1,0,1,1+2+4+5+6,+,1+2+3+4+5+6,+,52,33,0.02,0.02,8,3,0.02,0.19,0.31,0.02,3,0,0.0,0.0,0.0,0.0,1.0
0148,SUNZEN BIOTECH BERHAD,Agricultural Products,2020-12-01,8,1.0,-0.14,-0.0,-0.2,-0.2,0.17,0.235,0.095,0.32,0.17,-13.0,-0.02,-8.51,0.0,0.0,-11.06,-14.79,0.06,0.06,-1.47,-16.5,31.0,7.25,26.75,0.0,-5.45,10.74,-17.1,-9.61,0.0,0.0,0.0,0.0,0.0,36.51,-35.29,20.61,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1+2+3+6,1+2+3,1+2+3+4+5+6+7,2+3+5+6,37,82,0.01,-0.03,2,7,-0.27,-0.27,-0.27,-0.2,0,0,0.0,0.0,0.0,0.0,1.0
0171,PETERLABS HOLDINGS BERHAD,Agricultural Products,2020-12-01,10,2.0,0.25,0.01,0.19,0.27,0.24,0.235,0.205,0.32,0.2481,15.0,0.02,8.51,0.01,4.26,6.29,7.02,0.07,0.02,4.93,10.25,14.5,12.38,12.45,0.58,8.79,2.52,8.51,8.15,8.79,2.89,2.63,2.41,2.89,28.0,-5.47,1.72,26.37,3.08,3.82,0.0,-2.53,0.58,-5.59,1,0,0,1+3,+,1+3+5+8+10,6+9,46,80,0.01,0.02,1,10,0.34,0.25,0.36,0.26,3,5,0.5,0.0,0.5,0.0,1.0
5278,RHONE MA HOLDINGS BERHAD,Agricultural Products,2020-12-01,8,2.0,0.64,0.0,0.88,0.38,0.77,0.66,0.57,1.19,0.63,16.0,0.04,6.06,0.01,1.52,6.38,6.29,0.23,0.25,9.91,12.06,20.12,16.09,14.69,0.0,7.02,1.1,6.56,7.02,0.0,3.18,3.91,3.18,0.0,27.69,2.18,6.56,0.0,-10.97,0.0,0.0,-21.18,-12.5,0.0,1,0,0,2+3+8,+,1+2+3+5+6+8,7+8,84,147,0.07,0.04,0,17,2.38,1.18,0.51,1.78,3,2,0.5,0.0,0.5,0.0,1.0
6633,LEONG HUP INTERNATIONAL BERHAD,Agricultural Products,2020-12-01,6,1.5,0.46,0.02,0.31,0.33,0.73,0.69,0.635,0.925,0.4951,16.0,0.04,5.8,0.01,0.96,8.95,6.75,0.54,0.59,2.79,0.0,22.83,11.42,22.42,0.6,4.46,0.08,0.0,0.0,0.0,1.86,0.0,0.0,0.0,9.78,3.17,5.1,0.0,0.6,0.0,0.0,-16.24,0.6,0.0,1,0,1,1+6,+,1+2+6,+,4701,6028,0.03,0.03,301,416,1.29,0.41,0.44,0.97,3,0,0.5,0.0,1.0,0.0,0.0
7084,QL RESOURCES BERHAD,Agricultural Products,2020-03-01,10,2.5,9.3,0.7,0.92,0.83,6.05,5.58,5.48,7.2,0.95,44.0,0.13,2.33,0.04,0.81,13.47,12.11,0.35,0.39,6.42,57.0,86.0,71.5,69.89,5.39,1.67,0.26,1.34,1.47,1.67,0.46,0.4,0.41,0.46,24.28,11.33,8.95,10.9,4.57,8.39,0.0,6.82,5.39,7.54,1,0,1,10,+,2+5+8+9+10,+,1777,4156,0.06,0.1,131,528,1.15,1.23,1.11,0.86,0,0,0.5,0.0,1.0,0.0,1.0
7085,LTKM BERHAD,Agricultural Products,2020-03-01,10,2.0,-6.19,-0.0,-40.59,-3.95,0.93,1.07,0.85,1.1,1.7,-5.0,-0.21,-19.63,0.0,0.47,-12.38,2.26,0.18,0.2,6.39,0.0,59.0,29.5,18.91,0.0,7.64,6.59,8.79,11.08,0.0,2.44,2.46,3.14,0.0,26.42,3.49,-0.57,3.6,-34.65,-10.27,0.0,-23.85,-34.64,-10.64,1,0,1,1+4+5+8+10,+,1+3+5+9+10,+,150,187,0.12,0.04,16,19,-15.56,-54.12,-5.27,-11.67,0,0,0.0,0.0,1.0,0.0,1.0
7134,PWF CORPORATION BERHAD,Agricultural Products,2020-12-01,9,2.5,1.65,1.13,3.98,0.19,0.53,0.615,0.41,0.765,1.83,13.0,0.05,8.13,0.0,0.0,2.64,0.46,0.11,0.14,2.59,9.06,57.0,33.03,21.61,22.66,5.65,3.97,5.58,7.73,0.0,2.68,3.23,3.72,0.0,30.49,-3.19,1.57,1.82,-25.08,24.19,0.0,-56.31,-26.94,22.66,1,0,1,1+9,+,1+2+3+6+8+9,+,214,314,0.0,0.01,12,17,394.62,5.31,0.25,295.97,3,0,0.5,0.0,1.0,0.0,1.0
7174,CAB CAKARAN CORPORATION BERHAD,Agricultural Products,2020-09-01,10,1.5,0.5,0.0,2.45,0.39,0.4,0.445,0.32,0.565,0.66,24.0,0.02,4.49,0.0,0.56,2.8,0.6,0.57,0.6,1.54,10.5,39.75,25.12,26.6,0.0,3.75,3.55,2.77,4.07,3.75,0.36,1.19,0.71,0.36,3.26,4.04,13.51,12.71,-29.67,-9.15,0.0,-64.09,-34.16,-13.6,0,0,1,1+10,9,1+2+3+7+8+9,+,491,1680,0.03,0.0,23,50,841.33,3.27,0.52,631.0,2,0,0.5,0.0,1.0,0.0,0.0
7176,TPC PLUS BERHAD,Agricultural Products,2020-12-01,9,1.5,-0.64,-2.59,-0.22,-0.68,0.24,0.2,0.195,0.345,0.28,-2.0,-0.09,-45.0,0.0,0.0,-32.61,-29.5,0.22,0.28,-3.8,-19.25,33.5,7.12,20.71,28.79,2.73,18.38,16.58,9.72,0.0,0.0,0.0,0.0,0.0,0.0,28.32,22.11,12.71,0.0,0.0,0.0,0.0,28.79,0.0,0,0,0,1+9,1+7+8+9,1+2+3+4+5+6+7+8+9,1+9,43,242,-0.09,0.1,-4,-6,-0.9,-0.29,-0.9,-0.68,0,0,0.5,0.0,0.0,0.0,1.0
7252,TEO SENG CAPITAL BERHAD,Agricultural Products,2020-12-01,10,2.0,0.0,0.0,0.0,0.0,0.79,0.735,0.71,0.955,1.05,148.0,0.0,0.0,0.06,8.16,0.48,1.36,0.2,0.21,6.48,6.45,100.0,53.22,44.21,7.53,8.87,4.64,9.0,6.82,8.87,1.98,2.53,2.04,1.98,15.79,4.21,2.99,10.21,-36.63,-11.26,0.0,7.53,-35.99,-11.07,1,0,1,1+4+8+10,+,1+4+5+6+8+9+10,+,207,478,0.07,0.01,23,32,0.0,0.0,0.0,0.0,0,5,0.0,0.0,1.0,0.0,1.0
7439,TECK GUAN PERDANA BERHAD,Agricultural Products,2021-01-01,10,1.0,1.48,0.15,0.49,0.39,1.19,1.55,0.91,1.76,1.4637,26.0,0.06,3.87,0.0,0.0,4.0,14.2,0.37,0.37,0.08,5.75,43.67,24.71,17.45,2.42,-0.79,32.36,10.2,9.37,-0.79,0.0,0.0,0.0,0.0,0.0,5.91,16.96,10.7,-0.79,2.42,0.0,0.0,-0.78,2.42,0,0,0,2+3+6+9,4+7+9,3+4+6+7+8+9+10,2+5+6+10,205,461,0.09,0.2,-15,48,0.6,0.65,0.52,0.45,2,0,0.0,0.0,0.0,0.0,1.0
9385,LAY HONG BERHAD,Agricultural Products,2020-03-01,10,2.0,0.0,0.0,0.0,0.0,0.32,0.3,0.28,0.41,0.61,62.0,0.0,0.0,0.01,2.5,0.79,1.01,0.28,0.32,1.45,11.12,90.5,50.81,43.32,0.0,2.01,2.74,4.99,3.63,2.01,1.08,2.74,1.85,1.08,14.6,7.5,4.57,8.01,-28.83,-10.52,0.0,-40.41,-32.69,-13.73,0,0,0,2+5+10,8,1+2+5+7+8+9+10,8,423,840,0.03,0.01,25,66,0.0,0.0,0.0,0.0,0,4,0.5,0.0,0.5,0.0,1.0
