code,name,category,Annual,nYear,3G2H,PE Value,EPS GR Value,Price,P/E,EPS,DY,52w low,52w high,P/E min,P/E max,P/E mid,EPS GR min,EPS GR 3Y avg,EPS GR 5Y avg,EPS GR 10Y avg
0098,BAHVEST RESOURCES BERHAD,Agricultural Products,2020-03-01,9,1.0,0.04,-0.0,0.425,-37.0,-0.01,0.0,0.375,0.845,-110.0,102.0,-4.0,0.0,0.0,0.0,0.0
0136,GREENYIELD BERHAD,Agricultural Products,2020-12-01,7,1.0,0.32,0.07,0.275,12.0,0.02,0.73,0.11,0.385,9.5,22.5,16.0,3.73,150.0,3.73,-2.91
0148,SUNZEN BIOTECH BERHAD,Agricultural Products,2020-12-01,8,1.0,-0.14,-0.0,0.235,-13.0,-0.02,0.0,0.095,0.32,-16.5,31.0,7.25,0.0,0.0,0.0,0.0
0171,PETERLABS HOLDINGS BERHAD,Agricultural Products,2020-12-01,10,2.0,0.25,0.01,0.235,15.0,0.02,4.26,0.205,0.32,10.25,14.5,12.38,0.58,-2.53,0.58,-5.59
5278,RHONE MA HOLDINGS BERHAD,Agricultural Products,2020-12-01,8,2.0,0.64,0.0,0.66,16.0,0.04,1.52,0.57,1.19,12.06,20.12,16.09,0.0,-21.18,-12.5,0.0
6633,LEONG HUP INTERNATIONAL BERHAD,Agricultural Products,2020-12-01,6,1.5,0.46,0.02,0.69,16.0,0.04,0.96,0.635,0.925,0.0,22.83,11.42,0.6,-16.24,0.6,0.0
7084,QL RESOURCES BERHAD,Agricultural Products,2020-03-01,10,2.5,9.3,0.7,5.58,44.0,0.13,0.81,5.48,7.2,57.0,86.0,71.5,5.39,6.82,5.39,7.54
7085,LTKM BERHAD,Agricultural Products,2020-03-01,10,2.0,-6.19,-0.0,1.07,-5.0,-0.21,0.47,0.85,1.1,0.0,59.0,29.5,0.0,-23.85,-34.64,-10.64
7134,PWF CORPORATION BERHAD,Agricultural Products,2020-12-01,9,2.5,1.65,1.13,0.615,13.0,0.05,0.0,0.41,0.765,9.06,57.0,33.03,22.66,-56.31,-26.94,22.66
7174,CAB CAKARAN CORPORATION BERHAD,Agricultural Products,2020-09-01,10,1.5,0.5,0.0,0.445,24.0,0.02,0.56,0.32,0.565,10.5,39.75,25.12,0.0,-64.09,-34.16,-13.6
7176,TPC PLUS BERHAD,Agricultural Products,2020-12-01,9,1.5,-0.64,-2.59,0.2,-2.0,-0.09,0.0,0.195,0.345,-19.25,33.5,7.12,28.79,0.0,28.79,0.0
7252,TEO SENG CAPITAL BERHAD,Agricultural Products,2020-12-01,10,2.0,0.0,0.0,0.735,148.0,0.0,8.16,0.71,0.955,6.45,100.0,53.22,7.53,7.53,-35.99,-11.07
7439,TECK GUAN PERDANA BERHAD,Agricultural Products,2021-01-01,10,1.0,1.48,0.15,1.55,26.0,0.06,0.0,0.91,1.76,5.75,43.67,24.71,2.42,0.0,-0.78,2.42
