code,ROE2,D/E,D/E2
5112,-54.81,1.81,1.51
9075,-2.34,0.0,0.0
7034,9.09,0.11,0.07
0012,9.13,0.04,0.04
7889,12.05,0.11,0.13
7374,-1.86,0.22,0.19
7079,-1.69,0.03,0.04
7854,14.45,0.04,0.0
5031,11.88,0.05,0.05
8397,-0.20,0.97,0.81
5239,3.22,0.29,0.33
0101,2.78,0.01,0.0
7230,2.36,0.07,0.01
7285,-0.96,0.11,0.0
5010,13.76,0.05,0.01
7113,14.84,0.34,0.54
5111,3.63,0.0,0.0
7173,3.87,0.01,0.01
7176,2.41,0.22,0.22
7218,0.13,0.0,0.01
5054,5.16,0.22,0.02
0118,-8.00,0.0,0.0
5401,5.07,0.35,0.39
9059,2.84,0.53,0.58
5042,-15.52,0.36,0.40
5230,9.61,0.01,0.0
5167,6.34,0.03,0.0
4359,-1.30,0.28,0.32
7100,35.65,0.0,0.0
1368,11.83,0.24,0.24
5148,4.19,0.37,0.34
7137,1.85,0.0,0.0
7227,8.46,0.02,0.03
4588,9.20,0.47,0.52
7091,7.98,0.06,0.06
5005,-0.69,0.12,0.08
2593,-2.61,0.04,0.05
2089,11.05,0.0,0.0
7133,1.00,0.03,0.02
5200,8.45,0.0,0.0
5110,2.77,0.0,0.0
7757,3.56,0.0,0.0
5292,27.80,0.02,0.07
7250,5.98,0.78,0.83
6963,10.92,0.04,0.05
5243,-0.75,0.36,0.48
4995,-35.47,0.01,0.01
7240,-5.30,0.03,0.0
0097,17.78,0.09,0.09
7070,13.34,0.05,0.06
