code,detail,TTM,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10
0177,Year End,TTM,2020-12,2019-12,2018-12,2017-12,2016-12,2015-12,2014-12,2013-12,2012-12,2011-12
0177,Revenue,29,11,29,97,37,60,68,41,41,39,26
0177,NP,-36,-39,-11,-7,1,-6,1,-4,1,3,1
0177,EPS,-0.22,-0.23,-0.07,-0.05,—,-0.10,0.01,-0.06,0.02,0.06,0.03
0177,DPS,—,—,—,—,—,—,—,—,—,—,—
0177,Div Payout,—,—,—,—,—,—,—,—,—,—,—
0177,Shares,196,168,158,157,130,62,70,70,70,56,48
0177,BVPS,0.25,0.28,0.44,0.50,0.52,0.38,0.45,0.45,0.49,0.47,—
0177,OCF,-15,2,-5,-26,-37,-4,-4,-9,-3,2,7
0177,FCF,-16,1,-10,-26,-37,-5,-4,-9,-4,-3,-1
0177,NP Margin,-123.22,-358.83,-37.53,-7.46,1.65,-10.11,1.32,-10.40,3.11,8.89,5.01
0177,ROE,-51.58,-65.11,-15.85,-9.30,1.03,-18.35,3.00,-13.57,3.88,13.35,6.63
0177,Revenue GR,1328.83,-62.66,-70.13,164.18,-38.96,-11.34,64.90,0.02,6.56,50.09,—
0177,Revenue GR 3Y avg,—,-33.46,-21.61,12.65,-3.72,13.50,20.68,16.95,—,—,—
0177,Revenue GR 5Y avg,—,-30.73,-6.77,18.72,-1.00,18.52,—,—,—,—,—
0177,Revenue GR 10Y avg,—,—,—,—,—,—,—,—,—,—,—
0177,NP GR,—,—,—,—,—,—,-36.15,—,—,—,—
0177,NP GR 3Y avg,—,—,—,—,-29.34,—,—,—,—,—,—
0177,NP GR 5Y avg,—,—,—,—,—,—,—,—,—,—,—
0177,NP GR 10Y avg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0177,EPS GR,-106.67,—,—,—,—,—,—,—,-69.66,130.16,—
0177,EPS GR 3Y avg,—,—,—,—,—,—,-40.86,—,—,—,—
0177,EPS GR 5Y avg,—,—,—,—,-40.36,—,—,—,—,—,—
0177,EPS GR 10Y avg,—,—,—,—,—,—,—,—,—,—,—
0177,OCF GR,—,—,—,—,—,—,—,—,—,-70.63,—
0177,FCF GR,—,—,—,—,—,—,—,—,—,—,—
0177,D/E,0.17,0.26,0.26,0.14,0.15,0.01,—,—,0.01,—,—
0177,Price,0.0300,0.0700,0.0350,0.0550,0.1450,0.1500,0.1900,0.2400,0.1650,0.3100,0.0000
0178,Year End,TTM,2020-12,2019-12,2018-12,2017-12,2016-12,2015-12,2014-12,2013-12,2012-12,2011-12
0178,Revenue,23,8,15,12,27,14,9,11,—,—,—
0178,NP,-6,-12,2,-4,2,-2,2,6,—,—,—
0178,EPS,-0.02,-0.05,0.01,-0.02,0.01,-0.01,0.01,0.10,—,—,—
0178,DPS,—,—,—,—,0.01,0.02,—,—,—,—,—
0178,Div Payout,—,—,—,—,142.9,—,—,—,—,—,—
0178,Shares,278,264,243,227,212,200,175,66,—,—,—
0178,BVPS,0.06,0.11,0.13,0.14,0.14,0.18,0.21,—,—,—,—
0178,OCF,-3,-5,-2,-2,-3,-8,2,4,—,—,—
0178,FCF,-3,-5,-2,-2,-4,-9,—,2,—,—,—
